event,event_date,fighter_1,fighter_2,result,method,round,time
UFC Fight Night: Font vs. Garbrandt,"May 22, 2021",Norma Dumont,Felicia Spencer,win,S-DEC,3,5:00
UFC Fight Night: Font vs. Garbrandt,"May 22, 2021",Ricardo Ramos,Bill Algeo,win,U-DEC,3,5:00
UFC Fight Night: Font vs. Garbrandt,"May 22, 2021",Jack Hermansson,Edmen Shahbazyan,win,U-DEC,3,5:00
UFC Fight Night: Font vs. Garbrandt,"May 22, 2021",Ben Rothwell,Chris Barnett,win,"SUB

      

        Guillotine Choke",2,2:07
UFC Fight Night: Font vs. Garbrandt,"May 22, 2021",Court McGee,Claudio Silva,win,U-DEC,3,5:00
UFC Fight Night: Font vs. Garbrandt,"May 22, 2021",Bruno Silva,Victor Rodriguez,win,"KO/TKO

      

        Punch",1,1:00
UFC Fight Night: Font vs. Garbrandt,"May 22, 2021",Josh Culibao,Shayilan Nuerdanbieke,win,U-DEC,3,5:00
UFC Fight Night: Font vs. Garbrandt,"May 22, 2021",David Dvorak,Juancamilo Ronderos,win,"SUB

      

        Rear Naked Choke",1,2:18
UFC Fight Night: Font vs. Garbrandt,"May 22, 2021",Damir Ismagulov,Rafael Alves,win,U-DEC,3,5:00
UFC 262: Oliveira vs. Chandler,"May 15, 2021",Charles Oliveira,Michael Chandler,win,"KO/TKO

      

        Punch",2,0:19
UFC 262: Oliveira vs. Chandler,"May 15, 2021",Beneil Dariush,Tony Ferguson,win,U-DEC,3,5:00
UFC 262: Oliveira vs. Chandler,"May 15, 2021",Matt Schnell,Rogerio Bontorin,"nc


nc",Overturned,3,5:00
UFC 262: Oliveira vs. Chandler,"May 15, 2021",Katlyn Cerminara,Viviane Araujo,win,U-DEC,3,5:00
UFC 262: Oliveira vs. Chandler,"May 15, 2021",Edson Barboza,Shane Burgos,win,"KO/TKO

      

        Punch",3,1:16
UFC 262: Oliveira vs. Chandler,"May 15, 2021",Andre Muniz,Jacare Souza,win,"SUB

      

        Armbar",1,3:59
UFC 262: Oliveira vs. Chandler,"May 15, 2021",Lando Vannata,Mike Grundy,win,S-DEC,3,5:00
UFC 262: Oliveira vs. Chandler,"May 15, 2021",Jordan Wright,Jamie Pickett,win,"KO/TKO

      

        Knee",1,1:04
UFC 262: Oliveira vs. Chandler,"May 15, 2021",Andrea Lee,Antonina Shevchenko,win,"SUB

      

        Triangle Armbar",2,4:52
UFC 262: Oliveira vs. Chandler,"May 15, 2021",Priscila Cachoeira,Gina Mazany,win,"KO/TKO

      

        Punches",2,4:51
UFC 262: Oliveira vs. Chandler,"May 15, 2021",Tucker Lutz,Kevin Aguilar,win,U-DEC,3,5:00
UFC 262: Oliveira vs. Chandler,"May 15, 2021",Christos Giagos,Sean Soriano,win,"SUB

      

        D'Arce Choke",2,0:59
UFC Fight Night: Rodriguez vs. Waterson,"May 08, 2021",Marina Rodriguez,Michelle Waterson-Gomez,win,U-DEC,5,5:00
UFC Fight Night: Rodriguez vs. Waterson,"May 08, 2021",Alex Morono,Donald Cerrone,win,"KO/TKO

      

        Punches",1,4:40
UFC Fight Night: Rodriguez vs. Waterson,"May 08, 2021",Neil Magny,Geoff Neal,win,U-DEC,3,5:00
UFC Fight Night: Rodriguez vs. Waterson,"May 08, 2021",Marcos Rogerio de Lima,Maurice Greene,win,U-DEC,3,5:00
UFC Fight Night: Rodriguez vs. Waterson,"May 08, 2021",Gregor Gillespie,Diego Ferreira,win,"KO/TKO

      

        Punches",2,4:51
UFC Fight Night: Rodriguez vs. Waterson,"May 08, 2021",Phil Hawes,Kyle Daukaus,win,U-DEC,3,5:00
UFC Fight Night: Rodriguez vs. Waterson,"May 08, 2021",Michael Trizano,Ludovit Klein,win,U-DEC,3,5:00
UFC Fight Night: Rodriguez vs. Waterson,"May 08, 2021",JunYong Park,Tafon Nchukwi,win,M-DEC,3,5:00
UFC Fight Night: Rodriguez vs. Waterson,"May 08, 2021",Carlston Harris,Christian Aguilera,win,"SUB

      

        Anaconda Choke",1,2:52
UFC Fight Night: Reyes vs. Prochazka,"May 01, 2021",Jiri Prochazka,Dominick Reyes,win,"KO/TKO

      

        Spinning Back Elbow",2,4:29
UFC Fight Night: Reyes vs. Prochazka,"May 01, 2021",Giga Chikadze,Cub Swanson,win,"KO/TKO

      

        Kick",1,1:03
UFC Fight Night: Reyes vs. Prochazka,"May 01, 2021",Ion Cutelaba,Dustin Jacoby,"draw


draw",S-DEC,3,5:00
UFC Fight Night: Reyes vs. Prochazka,"May 01, 2021",Sean Strickland,Krzysztof Jotko,win,U-DEC,3,5:00
UFC Fight Night: Reyes vs. Prochazka,"May 01, 2021",Merab Dvalishvili,Cody Stamann,win,U-DEC,3,5:00
UFC Fight Night: Reyes vs. Prochazka,"May 01, 2021",Luana Pinheiro,Randa Markos,win,DQ,1,4:16
UFC Fight Night: Reyes vs. Prochazka,"May 01, 2021",TJ Brown,Kai Kamaka,win,S-DEC,3,5:00
UFC Fight Night: Reyes vs. Prochazka,"May 01, 2021",Luana Carolina,Poliana Botelho,win,S-DEC,3,5:00
UFC Fight Night: Reyes vs. Prochazka,"May 01, 2021",Loma Lookboonmee,Sam Hughes,win,U-DEC,3,5:00
UFC Fight Night: Reyes vs. Prochazka,"May 01, 2021",Andreas Michailidis,KB Bhullar,win,U-DEC,3,5:00
UFC Fight Night: Reyes vs. Prochazka,"May 01, 2021",Felipe Colares,Luke Sanders,win,U-DEC,3,5:00
UFC 261: Usman vs. Masvidal 2,"April 24, 2021",Kamaru Usman,Jorge Masvidal,win,"KO/TKO

      

        Punch",2,1:02
UFC 261: Usman vs. Masvidal 2,"April 24, 2021",Rose Namajunas,Zhang Weili,win,"KO/TKO

      

        Kick",1,1:18
UFC 261: Usman vs. Masvidal 2,"April 24, 2021",Valentina Shevchenko,Jessica Andrade,win,"KO/TKO

      

        Elbows",2,3:19
UFC 261: Usman vs. Masvidal 2,"April 24, 2021",Uriah Hall,Chris Weidman,win,KO/TKO,1,0:17
UFC 261: Usman vs. Masvidal 2,"April 24, 2021",Anthony Smith,Jimmy Crute,win,KO/TKO,1,5:00
UFC 261: Usman vs. Masvidal 2,"April 24, 2021",Randy Brown,Alex Oliveira,win,"SUB

      

        Rear Naked Choke",1,2:50
UFC 261: Usman vs. Masvidal 2,"April 24, 2021",Dwight Grant,Stefan Sekulic,win,S-DEC,3,5:00
UFC 261: Usman vs. Masvidal 2,"April 24, 2021",Brendan Allen,Karl Roberson,win,"SUB

      

        Ankle Lock",1,4:55
UFC 261: Usman vs. Masvidal 2,"April 24, 2021",Pat Sabatini,Tristan Connelly,win,U-DEC,3,5:00
UFC 261: Usman vs. Masvidal 2,"April 24, 2021",Batgerel Danaa,Kevin Natividad,win,"KO/TKO

      

        Punch",1,0:50
UFC 261: Usman vs. Masvidal 2,"April 24, 2021",Kazula Vargas,Rongzhu,win,U-DEC,3,5:00
UFC 261: Usman vs. Masvidal 2,"April 24, 2021",Jeff Molina,Aoriqileng,win,U-DEC,3,5:00
UFC 261: Usman vs. Masvidal 2,"April 24, 2021",Ariane Carnelossi,Liang Na,win,"KO/TKO

      

        Punches",2,1:28
UFC Fight Night: Whittaker vs. Gastelum,"April 17, 2021",Robert Whittaker,Kelvin Gastelum,win,U-DEC,5,5:00
UFC Fight Night: Whittaker vs. Gastelum,"April 17, 2021",Andrei Arlovski,Chase Sherman,win,U-DEC,3,5:00
UFC Fight Night: Whittaker vs. Gastelum,"April 17, 2021",Jacob Malkoun,Abdul Razak Alhassan,win,U-DEC,3,5:00
UFC Fight Night: Whittaker vs. Gastelum,"April 17, 2021",Tracy Cortez,Justine Kish,win,S-DEC,3,5:00
UFC Fight Night: Whittaker vs. Gastelum,"April 17, 2021",Luis Pena,Alexander Munoz,win,S-DEC,3,5:00
UFC Fight Night: Whittaker vs. Gastelum,"April 17, 2021",Alexandr Romanov,Juan Espino,win,S-DEC,3,1:05
UFC Fight Night: Whittaker vs. Gastelum,"April 17, 2021",Jessica Penne,Loopy Godinez,win,S-DEC,3,5:00
UFC Fight Night: Whittaker vs. Gastelum,"April 17, 2021",Gerald Meerschaert,Bartosz Fabinski,win,"SUB

      

        Guillotine Choke",1,2:00
UFC Fight Night: Whittaker vs. Gastelum,"April 17, 2021",Austin Hubbard,Dakota Bush,win,U-DEC,3,5:00
UFC Fight Night: Whittaker vs. Gastelum,"April 17, 2021",Tony Gravely,Anthony Birchak,win,"KO/TKO

      

        Punch",2,1:31
UFC Fight Night: Vettori vs. Holland,"April 10, 2021",Marvin Vettori,Kevin Holland,win,U-DEC,5,5:00
UFC Fight Night: Vettori vs. Holland,"April 10, 2021",Arnold Allen,Sodiq Yusuff,win,U-DEC,3,5:00
UFC Fight Night: Vettori vs. Holland,"April 10, 2021",Julian Marquez,Sam Alvey,win,"SUB

      

        Rear Naked Choke",2,2:07
UFC Fight Night: Vettori vs. Holland,"April 10, 2021",Mackenzie Dern,Nina Nunes,win,"SUB

      

        Armbar",1,4:48
UFC Fight Night: Vettori vs. Holland,"April 10, 2021",Daniel Rodriguez,Mike Perry,win,U-DEC,3,5:00
UFC Fight Night: Vettori vs. Holland,"April 10, 2021",Joe Solecki,Jim Miller,win,U-DEC,3,5:00
UFC Fight Night: Vettori vs. Holland,"April 10, 2021",Mateusz Gamrot,Scott Holtzman,win,"KO/TKO

      

        Punches",2,1:22
UFC Fight Night: Vettori vs. Holland,"April 10, 2021",John Makdessi,Ignacio Bahamondes,win,S-DEC,3,5:00
UFC Fight Night: Vettori vs. Holland,"April 10, 2021",Jarjis Danho,Yorgan De Castro,win,"KO/TKO

      

        Punch",1,3:02
UFC Fight Night: Vettori vs. Holland,"April 10, 2021",Jack Shore,Hunter Azure,win,S-DEC,3,5:00
UFC Fight Night: Vettori vs. Holland,"April 10, 2021",Luis Saldana,Jordan Griffin,win,U-DEC,3,5:00
UFC Fight Night: Vettori vs. Holland,"April 10, 2021",Da Woon Jung,William Knight,win,U-DEC,3,5:00
UFC Fight Night: Vettori vs. Holland,"April 10, 2021",Impa Kasanganay,Sasha Palatnikov,win,"SUB

      

        Rear Naked Choke",2,0:26
UFC 260: Miocic vs. Ngannou,"March 27, 2021",Francis Ngannou,Stipe Miocic,win,"KO/TKO

      

        Punch",2,0:52
UFC 260: Miocic vs. Ngannou,"March 27, 2021",Vicente Luque,Tyron Woodley,win,"SUB

      

        D'Arce Choke",1,3:56
UFC 260: Miocic vs. Ngannou,"March 27, 2021",Sean O'Malley,Thomas Almeida,win,"KO/TKO

      

        Punch",3,3:52
UFC 260: Miocic vs. Ngannou,"March 27, 2021",Miranda Maverick,Gillian Robertson,win,U-DEC,3,5:00
UFC 260: Miocic vs. Ngannou,"March 27, 2021",Jamie Mullarkey,Khama Worthy,win,"KO/TKO

      

        Punch",1,0:46
UFC 260: Miocic vs. Ngannou,"March 27, 2021",Alonzo Menifield,Fabio Cherant,win,"SUB

      

        Von Flue Choke",1,1:11
UFC 260: Miocic vs. Ngannou,"March 27, 2021",Abubakar Nurmagomedov,Jared Gooden,win,U-DEC,3,5:00
UFC 260: Miocic vs. Ngannou,"March 27, 2021",Michal Oleksiejczuk,Modestas Bukauskas,win,S-DEC,3,5:00
UFC 260: Miocic vs. Ngannou,"March 27, 2021",Omar Morales,Shane Young,win,U-DEC,3,5:00
UFC 260: Miocic vs. Ngannou,"March 27, 2021",Marc-Andre Barriault,Abu Azaitar,win,"KO/TKO

      

        Punches",3,4:56
UFC Fight Night: Brunson vs. Holland,"March 20, 2021",Derek Brunson,Kevin Holland,win,U-DEC,5,5:00
UFC Fight Night: Brunson vs. Holland,"March 20, 2021",Max Griffin,Song Kenan,win,"KO/TKO

      

        Punch",1,2:20
UFC Fight Night: Brunson vs. Holland,"March 20, 2021",Montserrat Conejo Ruiz,Cheyanne Vlismas,win,U-DEC,3,5:00
UFC Fight Night: Brunson vs. Holland,"March 20, 2021",Adrian Yanez,Gustavo Lopez,win,"KO/TKO

      

        Punch",3,0:27
UFC Fight Night: Brunson vs. Holland,"March 20, 2021",Tai Tuivasa,Harry Hunsucker,win,"KO/TKO

      

        Punches",1,0:49
UFC Fight Night: Brunson vs. Holland,"March 20, 2021",Macy Chiasson,Marion Reneau,win,U-DEC,3,5:00
UFC Fight Night: Brunson vs. Holland,"March 20, 2021",Grant Dawson,Leonardo Santos,win,"KO/TKO

      

        Punches",3,4:59
UFC Fight Night: Brunson vs. Holland,"March 20, 2021",Trevin Giles,Roman Dolidze,win,U-DEC,3,5:00
UFC Fight Night: Brunson vs. Holland,"March 20, 2021",Montel Jackson,Jesse Strader,win,"KO/TKO

      

        Punch",1,1:58
UFC Fight Night: Brunson vs. Holland,"March 20, 2021",Bruno Silva,JP Buys,win,"KO/TKO

      

        Punch",2,2:56
UFC Fight Night: Edwards vs. Muhammad,"March 13, 2021",Leon Edwards,Belal Muhammad,"nc


nc",CNC,2,0:18
UFC Fight Night: Edwards vs. Muhammad,"March 13, 2021",Ryan Spann,Misha Cirkunov,win,"KO/TKO

      

        Punches",1,1:11
UFC Fight Night: Edwards vs. Muhammad,"March 13, 2021",Dan Ige,Gavin Tucker,win,"KO/TKO

      

        Punch",1,0:22
UFC Fight Night: Edwards vs. Muhammad,"March 13, 2021",Davey Grant,Jonathan Martinez,win,"KO/TKO

      

        Punch",2,3:03
UFC Fight Night: Edwards vs. Muhammad,"March 13, 2021",Matheus Nicolau,Manel Kape,win,S-DEC,3,5:00
UFC Fight Night: Edwards vs. Muhammad,"March 13, 2021",Eryk Anders,Darren Stewart,"nc


nc",CNC,1,4:37
UFC Fight Night: Edwards vs. Muhammad,"March 13, 2021",Angela Hill,Ashley Yoder,win,U-DEC,3,5:00
UFC Fight Night: Edwards vs. Muhammad,"March 13, 2021",Charles Jourdain,Marcelo Rojo,win,"KO/TKO

      

        Punch",3,4:31
UFC Fight Night: Edwards vs. Muhammad,"March 13, 2021",Rani Yahya,Ray Rodriguez,win,"SUB

      

        Arm Triangle",2,3:09
UFC Fight Night: Edwards vs. Muhammad,"March 13, 2021",Nasrat Haqparast,Rafa Garcia,win,U-DEC,3,5:00
UFC Fight Night: Edwards vs. Muhammad,"March 13, 2021",JJ Aldrich,Cortney Casey,win,S-DEC,3,5:00
UFC Fight Night: Edwards vs. Muhammad,"March 13, 2021",Jinh Yu Frey,Gloria de Paula,win,U-DEC,3,5:00
UFC Fight Night: Edwards vs. Muhammad,"March 13, 2021",Matthew Semelsberger,Jason Witt,win,"KO/TKO

      

        Punch",1,0:16
UFC 259: Blachowicz vs. Adesanya,"March 06, 2021",Jan Blachowicz,Israel Adesanya,win,U-DEC,5,5:00
UFC 259: Blachowicz vs. Adesanya,"March 06, 2021",Amanda Nunes,Megan Anderson,win,"SUB

      

        Triangle Armbar",1,2:03
UFC 259: Blachowicz vs. Adesanya,"March 06, 2021",Aljamain Sterling,Petr Yan,win,DQ,4,4:29
UFC 259: Blachowicz vs. Adesanya,"March 06, 2021",Islam Makhachev,Drew Dober,win,"SUB

      

        Arm Triangle",3,1:37
UFC 259: Blachowicz vs. Adesanya,"March 06, 2021",Aleksandar Rakic,Thiago Santos,win,U-DEC,3,5:00
UFC 259: Blachowicz vs. Adesanya,"March 06, 2021",Dominick Cruz,Casey Kenney,win,S-DEC,3,5:00
UFC 259: Blachowicz vs. Adesanya,"March 06, 2021",Kyler Phillips,Song Yadong,win,U-DEC,3,5:00
UFC 259: Blachowicz vs. Adesanya,"March 06, 2021",Askar Askarov,Joseph Benavidez,win,U-DEC,3,5:00
UFC 259: Blachowicz vs. Adesanya,"March 06, 2021",Kai Kara-France,Rogerio Bontorin,win,"KO/TKO

      

        Punch",1,4:55
UFC 259: Blachowicz vs. Adesanya,"March 06, 2021",Tim Elliott,Jordan Espinosa,win,U-DEC,3,5:00
UFC 259: Blachowicz vs. Adesanya,"March 06, 2021",Kennedy Nzechukwu,Carlos Ulberg,win,"KO/TKO

      

        Punch",2,3:19
UFC 259: Blachowicz vs. Adesanya,"March 06, 2021",Sean Brady,Jake Matthews,win,"SUB

      

        Arm Triangle",3,3:28
UFC 259: Blachowicz vs. Adesanya,"March 06, 2021",Amanda Lemos,Livinha Souza,win,"KO/TKO

      

        Punch",1,3:39
UFC 259: Blachowicz vs. Adesanya,"March 06, 2021",Uros Medic,Aalon Cruz,win,"KO/TKO

      

        Punches",1,1:40
UFC 259: Blachowicz vs. Adesanya,"March 06, 2021",Trevin Jones,Mario Bautista,win,"KO/TKO

      

        Punch",2,0:47
UFC Fight Night: Rozenstruik vs. Gane,"February 27, 2021",Ciryl Gane,Jairzinho Rozenstruik,win,U-DEC,5,5:00
UFC Fight Night: Rozenstruik vs. Gane,"February 27, 2021",Magomed Ankalaev,Nikita Krylov,win,U-DEC,3,5:00
UFC Fight Night: Rozenstruik vs. Gane,"February 27, 2021",Montana De La Rosa,Mayra Bueno Silva,"draw


draw",M-DEC,3,5:00
UFC Fight Night: Rozenstruik vs. Gane,"February 27, 2021",Pedro Munhoz,Jimmie Rivera,win,U-DEC,3,5:00
UFC Fight Night: Rozenstruik vs. Gane,"February 27, 2021",Alex Caceres,Kevin Croom,win,U-DEC,3,5:00
UFC Fight Night: Rozenstruik vs. Gane,"February 27, 2021",Thiago Moises,Alexander Hernandez,win,U-DEC,3,5:00
UFC Fight Night: Rozenstruik vs. Gane,"February 27, 2021",Alexis Davis,Sabina Mazo,win,U-DEC,3,5:00
UFC Fight Night: Rozenstruik vs. Gane,"February 27, 2021",Ronnie Lawrence,Vince Cachero,win,"KO/TKO

      

        Punches",3,2:38
UFC Fight Night: Rozenstruik vs. Gane,"February 27, 2021",Dustin Jacoby,Maxim Grishin,win,U-DEC,3,5:00
UFC Fight Night: Blaydes vs. Lewis,"February 20, 2021",Derrick Lewis,Curtis Blaydes,win,"KO/TKO

      

        Punch",2,1:26
UFC Fight Night: Blaydes vs. Lewis,"February 20, 2021",Yana Santos,Ketlen Vieira,win,U-DEC,3,5:00
UFC Fight Night: Blaydes vs. Lewis,"February 20, 2021",Darrick Minner,Charles Rosa,win,U-DEC,3,5:00
UFC Fight Night: Blaydes vs. Lewis,"February 20, 2021",Chris Daukaus,Aleksei Oleinik,win,"KO/TKO

      

        Punches",1,1:55
UFC Fight Night: Blaydes vs. Lewis,"February 20, 2021",Phil Hawes,Nassourdine Imavov,win,M-DEC,3,5:00
UFC Fight Night: Blaydes vs. Lewis,"February 20, 2021",Tom Aspinall,Andrei Arlovski,win,"SUB

      

        Rear Naked Choke",2,1:09
UFC Fight Night: Blaydes vs. Lewis,"February 20, 2021",Jared Gordon,Danny Chavez,win,U-DEC,3,5:00
UFC Fight Night: Blaydes vs. Lewis,"February 20, 2021",John Castaneda,Eddie Wineland,win,"KO/TKO

      

        Punches",1,4:44
UFC Fight Night: Blaydes vs. Lewis,"February 20, 2021",Julian Erosa,Nate Landwehr,win,"KO/TKO

      

        Flying Knee",1,0:56
UFC Fight Night: Blaydes vs. Lewis,"February 20, 2021",Casey O'Neill,Shana Dobson,win,"KO/TKO

      

        Punches",2,3:41
UFC Fight Night: Blaydes vs. Lewis,"February 20, 2021",Aiemann Zahabi,Drako Rodriguez,win,"KO/TKO

      

        Punch",1,3:05
UFC Fight Night: Blaydes vs. Lewis,"February 20, 2021",Serghei Spivac,Jared Vanderaa,win,"KO/TKO

      

        Punches",2,4:32
UFC 258: Usman vs. Burns,"February 13, 2021",Kamaru Usman,Gilbert Burns,win,"KO/TKO

      

        Punches",3,0:34
UFC 258: Usman vs. Burns,"February 13, 2021",Alexa Grasso,Maycee Barber,win,U-DEC,3,5:00
UFC 258: Usman vs. Burns,"February 13, 2021",Kelvin Gastelum,Ian Heinisch,win,U-DEC,3,5:00
UFC 258: Usman vs. Burns,"February 13, 2021",Ricky Simon,Brian Kelleher,win,U-DEC,3,5:00
UFC 258: Usman vs. Burns,"February 13, 2021",Julian Marquez,Maki Pitolo,win,"SUB

      

        Anaconda Choke",3,4:17
UFC 258: Usman vs. Burns,"February 13, 2021",Anthony Hernandez,Rodolfo Vieira,win,"SUB

      

        Guillotine Choke",2,1:53
UFC 258: Usman vs. Burns,"February 13, 2021",Belal Muhammad,Dhiego Lima,win,U-DEC,3,5:00
UFC 258: Usman vs. Burns,"February 13, 2021",Polyana Viana,Mallory Martin,win,"SUB

      

        Armbar",1,3:18
UFC 258: Usman vs. Burns,"February 13, 2021",Chris Gutierrez,Andre Ewell,win,U-DEC,3,5:00
UFC 258: Usman vs. Burns,"February 13, 2021",Gabe Green,Phil Rowe,win,U-DEC,3,5:00
UFC Fight Night: Overeem vs. Volkov,"February 06, 2021",Alexander Volkov,Alistair Overeem,win,"KO/TKO

      

        Punch",2,2:06
UFC Fight Night: Overeem vs. Volkov,"February 06, 2021",Cory Sandhagen,Frankie Edgar,win,"KO/TKO

      

        Flying Knee",1,0:28
UFC Fight Night: Overeem vs. Volkov,"February 06, 2021",Clay Guida,Michael Johnson,win,U-DEC,3,5:00
UFC Fight Night: Overeem vs. Volkov,"February 06, 2021",Alexandre Pantoja,Manel Kape,win,U-DEC,3,5:00
UFC Fight Night: Overeem vs. Volkov,"February 06, 2021",Beneil Dariush,Diego Ferreira,win,S-DEC,3,5:00
UFC Fight Night: Overeem vs. Volkov,"February 06, 2021",Danilo Marques,Mike Rodriguez,win,"SUB

      

        Rear Naked Choke",2,4:52
UFC Fight Night: Overeem vs. Volkov,"February 06, 2021",Devonte Smith,Justin Jaynes,win,KO/TKO,2,3:38
UFC Fight Night: Overeem vs. Volkov,"February 06, 2021",Karol Rosa,Joselyne Edwards,win,U-DEC,3,5:00
UFC Fight Night: Overeem vs. Volkov,"February 06, 2021",Lara Procopio,Molly McCann,win,U-DEC,3,5:00
UFC Fight Night: Overeem vs. Volkov,"February 06, 2021",SeungWoo Choi,Youssef Zalal,win,U-DEC,3,5:00
UFC Fight Night: Overeem vs. Volkov,"February 06, 2021",Timur Valiev,Martin Day,win,U-DEC,3,5:00
UFC Fight Night: Overeem vs. Volkov,"February 06, 2021",Ode Osbourne,Jerome Rivera,win,"KO/TKO

      

        Punch",1,0:26
UFC 257: Poirier vs. McGregor,"January 23, 2021",Dustin Poirier,Conor McGregor,win,"KO/TKO

      

        Punches",2,2:32
UFC 257: Poirier vs. McGregor,"January 23, 2021",Michael Chandler,Dan Hooker,win,"KO/TKO

      

        Punch",1,2:30
UFC 257: Poirier vs. McGregor,"January 23, 2021",Joanne Wood,Jessica Eye,win,U-DEC,3,5:00
UFC 257: Poirier vs. McGregor,"January 23, 2021",Makhmud Muradov,Andrew Sanchez,win,"KO/TKO

      

        Punches",3,2:59
UFC 257: Poirier vs. McGregor,"January 23, 2021",Marina Rodriguez,Amanda Ribas,win,"KO/TKO

      

        Punch",2,0:54
UFC 257: Poirier vs. McGregor,"January 23, 2021",Arman Tsarukyan,Matt Frevola,win,U-DEC,3,5:00
UFC 257: Poirier vs. McGregor,"January 23, 2021",Brad Tavares,Antonio Carlos Junior,win,U-DEC,3,5:00
UFC 257: Poirier vs. McGregor,"January 23, 2021",Julianna Pena,Sara McMann,win,"SUB

      

        Rear Naked Choke",3,3:39
UFC 257: Poirier vs. McGregor,"January 23, 2021",Marcin Prachnio,Khalil Rountree Jr.,win,U-DEC,3,5:00
UFC 257: Poirier vs. McGregor,"January 23, 2021",Movsar Evloev,Nik Lentz,win,S-DEC,3,5:00
UFC 257: Poirier vs. McGregor,"January 23, 2021",Amir Albazi,Zhalgas Zhumagulov,win,U-DEC,3,5:00
UFC Fight Night: Chiesa vs. Magny,"January 20, 2021",Michael Chiesa,Neil Magny,win,U-DEC,5,5:00
UFC Fight Night: Chiesa vs. Magny,"January 20, 2021",Warlley Alves,Mounir Lazzez,win,"KO/TKO

      

        Kick",1,2:35
UFC Fight Night: Chiesa vs. Magny,"January 20, 2021",Ike Villanueva,Vinicius Moreira,win,"KO/TKO

      

        Punch",2,0:39
UFC Fight Night: Chiesa vs. Magny,"January 20, 2021",Viviane Araujo,Roxanne Modafferi,win,U-DEC,3,5:00
UFC Fight Night: Chiesa vs. Magny,"January 20, 2021",Matt Schnell,Tyson Nam,win,S-DEC,3,5:00
UFC Fight Night: Chiesa vs. Magny,"January 20, 2021",Lerone Murphy,Douglas Silva de Andrade,win,U-DEC,3,5:00
UFC Fight Night: Chiesa vs. Magny,"January 20, 2021",Omari Akhmedov,Tom Breese,win,"SUB

      

        Arm Triangle",2,1:41
UFC Fight Night: Chiesa vs. Magny,"January 20, 2021",Ricky Simon,Gaetano Pirrello,win,"SUB

      

        Arm Triangle",2,4:00
UFC Fight Night: Chiesa vs. Magny,"January 20, 2021",Sumudaerji,Zarrukh Adashev,win,U-DEC,3,5:00
UFC Fight Night: Chiesa vs. Magny,"January 20, 2021",Dalcha Lungiambula,Markus Perez,win,U-DEC,3,5:00
UFC Fight Night: Chiesa vs. Magny,"January 20, 2021",Francisco Figueiredo,Jerome Rivera,win,U-DEC,3,5:00
UFC Fight Night: Chiesa vs. Magny,"January 20, 2021",Mike Davis,Mason Jones,win,U-DEC,3,5:00
UFC Fight Night: Chiesa vs. Magny,"January 20, 2021",Umar Nurmagomedov,Sergey Morozov,win,"SUB

      

        Rear Naked Choke",2,3:39
UFC Fight Night: Chiesa vs. Magny,"January 20, 2021",Manon Fiorot,Victoria Leonardo,win,"KO/TKO

      

        Punches",2,4:08
UFC Fight Night: Holloway vs. Kattar,"January 16, 2021",Max Holloway,Calvin Kattar,win,U-DEC,5,5:00
UFC Fight Night: Holloway vs. Kattar,"January 16, 2021",Carlos Condit,Matt Brown,win,U-DEC,3,5:00
UFC Fight Night: Holloway vs. Kattar,"January 16, 2021",Li Jingliang,Santiago Ponzinibbio,win,"KO/TKO

      

        Punch",1,4:25
UFC Fight Night: Holloway vs. Kattar,"January 16, 2021",Alessio Di Chirico,Joaquin Buckley,win,"KO/TKO

      

        Kick",1,2:12
UFC Fight Night: Holloway vs. Kattar,"January 16, 2021",Punahele Soriano,Dusko Todorovic,win,"KO/TKO

      

        Punch",1,4:48
UFC Fight Night: Holloway vs. Kattar,"January 16, 2021",Joselyne Edwards,Wu Yanan,win,U-DEC,3,5:00
UFC Fight Night: Holloway vs. Kattar,"January 16, 2021",Carlos Felipe,Justin Tafa,win,S-DEC,3,5:00
UFC Fight Night: Holloway vs. Kattar,"January 16, 2021",Ramazan Emeev,David Zawada,win,S-DEC,3,5:00
UFC Fight Night: Holloway vs. Kattar,"January 16, 2021",Vanessa Melo,Sarah Moras,win,U-DEC,3,5:00
UFC Fight Night: Holloway vs. Kattar,"January 16, 2021",Austin Lingo,Jacob Kilburn,win,U-DEC,3,5:00
UFC Fight Night: Thompson vs. Neal,"December 19, 2020",Stephen Thompson,Geoff Neal,win,U-DEC,5,5:00
UFC Fight Night: Thompson vs. Neal,"December 19, 2020",Jose Aldo,Marlon Vera,win,U-DEC,3,5:00
UFC Fight Night: Thompson vs. Neal,"December 19, 2020",Michel Pereira,Khaos Williams,win,U-DEC,3,5:00
UFC Fight Night: Thompson vs. Neal,"December 19, 2020",Rob Font,Marlon Moraes,win,"KO/TKO

      

        Punches",1,3:47
UFC Fight Night: Thompson vs. Neal,"December 19, 2020",Marcin Tybura,Greg Hardy,win,"KO/TKO

      

        Punches",2,4:31
UFC Fight Night: Thompson vs. Neal,"December 19, 2020",Anthony Pettis,Alex Morono,win,U-DEC,3,5:00
UFC Fight Night: Thompson vs. Neal,"December 19, 2020",Pannie Kianzad,Sijara Eubanks,win,U-DEC,3,5:00
UFC Fight Night: Thompson vs. Neal,"December 19, 2020",Deron Winn,Antonio Arroyo,win,U-DEC,3,5:00
UFC Fight Night: Thompson vs. Neal,"December 19, 2020",Taila Santos,Gillian Robertson,win,U-DEC,3,5:00
