event,fighter_1,fighter_2,result,method,round,time
UFC 268: Usman vs. Covington 2,Shane Burgos,Billy Quarantillo,win,U-DEC,3,5:00
UFC 268: Usman vs. Covington 2,Justin Gaethje,Michael Chandler,win,U-DEC,3,5:00
UFC 268: Usman vs. Covington 2,Alex Pereira,Andreas Michailidis,win,"KO/TKO

      

        Flying Knee",2,0:18
UFC 268: Usman vs. Covington 2,King Green,Al Iaquinta,win,"KO/TKO

      

        Punches",1,2:25
UFC 268: Usman vs. Covington 2,Chris Curtis,Phil Hawes,win,"KO/TKO

      

        Punch",1,4:27
UFC 268: Usman vs. Covington 2,Nassourdine Imavov,Edmen Shahbazyan,win,"KO/TKO

      

        Elbows",2,4:52
UFC 268: Usman vs. Covington 2,Ian Machado Garry,Jordan Williams,win,"KO/TKO

      

        Punch",1,4:59
UFC 268: Usman vs. Covington 2,Chris Barnett,Gian Villante,win,"KO/TKO

      

        Kick",2,2:23
UFC 268: Usman vs. Covington 2,Dustin Jacoby,John Allan,win,U-DEC,3,5:00
UFC 268: Usman vs. Covington 2,Melsik Baghdasaryan,Bruno Souza,win,U-DEC,3,5:00
UFC 268: Usman vs. Covington 2,Ode Osbourne,CJ Vergara,win,U-DEC,3,5:00
UFC 267: Blachowicz vs. Teixeira,Glover Teixeira,Jan Blachowicz,win,"SUB

      

        Rear Naked Choke",2,3:02
UFC 267: Blachowicz vs. Teixeira,Petr Yan,Cory Sandhagen,win,U-DEC,5,5:00
UFC 267: Blachowicz vs. Teixeira,Islam Makhachev,Dan Hooker,win,"SUB

      

        Kimura",1,2:25
UFC 267: Blachowicz vs. Teixeira,Alexander Volkov,Marcin Tybura,win,U-DEC,3,5:00
UFC 267: Blachowicz vs. Teixeira,Khamzat Chimaev,Li Jingliang,win,"SUB

      

        Rear Naked Choke",1,3:16
UFC 267: Blachowicz vs. Teixeira,Magomed Ankalaev,Volkan Oezdemir,win,U-DEC,3,5:00
UFC 267: Blachowicz vs. Teixeira,Amanda Ribas,Virna Jandiroba,win,U-DEC,3,5:00
UFC 267: Blachowicz vs. Teixeira,Zubaira Tukhugov,Ricardo Ramos,win,U-DEC,3,5:00
UFC 267: Blachowicz vs. Teixeira,Albert Duraev,Roman Kopylov,win,U-DEC,3,5:00
UFC 267: Blachowicz vs. Teixeira,Elizeu Zaleski dos Santos,Benoit Saint Denis,win,U-DEC,3,5:00
UFC 267: Blachowicz vs. Teixeira,Michal Oleksiejczuk,Shamil Gamzatov,win,"KO/TKO

      

        Punch",1,3:31
UFC 267: Blachowicz vs. Teixeira,Lerone Murphy,Makwan Amirkhani,win,"KO/TKO

      

        Knee",2,0:14
UFC 267: Blachowicz vs. Teixeira,Andre Petroski,Hu Yaozong,win,"SUB

      

        Arm Triangle",3,4:46
UFC 267: Blachowicz vs. Teixeira,Tagir Ulanbekov,Allan Nascimento,win,S-DEC,3,5:00
UFC Fight Night: Costa vs. Vettori,Marvin Vettori,Paulo Costa,win,U-DEC,5,5:00
UFC Fight Night: Costa vs. Vettori,Grant Dawson,Ricky Glenn,draw,M-DEC,3,5:00
UFC Fight Night: Costa vs. Vettori,Jessica-Rose Clark,Joselyne Edwards,win,U-DEC,3,5:00
UFC Fight Night: Costa vs. Vettori,Alex Caceres,SeungWoo Choi,win,"SUB

      

        Rear Naked Choke",2,3:31
UFC Fight Night: Costa vs. Vettori,Francisco Trinaldo,Dwight Grant,win,S-DEC,3,5:00
UFC Fight Night: Costa vs. Vettori,Nicolae Negumereanu,Ike Villanueva,win,"KO/TKO

      

        Punches",1,1:18
UFC Fight Night: Costa vs. Vettori,Gregory Rodrigues,JunYong Park,win,"KO/TKO

      

        Punch",2,3:13
UFC Fight Night: Costa vs. Vettori,Mason Jones,David Onama,win,U-DEC,3,5:00
UFC Fight Night: Costa vs. Vettori,Tabatha Ricci,Maria Oliveira,win,U-DEC,3,5:00
UFC Fight Night: Costa vs. Vettori,Jamie Pickett,Laureano Staropoli,win,U-DEC,3,5:00
UFC Fight Night: Costa vs. Vettori,Jai Herbert,Khama Worthy,win,"KO/TKO

      

        Punches",1,2:47
UFC Fight Night: Costa vs. Vettori,Jeff Molina,Daniel Lacerda,win,"KO/TKO

      

        Punches",2,0:46
UFC Fight Night: Costa vs. Vettori,Randa Markos,Livinha Souza,win,U-DEC,3,5:00
UFC Fight Night: Costa vs. Vettori,Jonathan Martinez,Zviad Lazishvili,win,U-DEC,3,5:00
UFC Fight Night: Ladd vs. Dumont,Norma Dumont,Aspen Ladd,win,U-DEC,5,5:00
UFC Fight Night: Ladd vs. Dumont,Andrei Arlovski,Carlos Felipe,win,U-DEC,3,5:00
UFC Fight Night: Ladd vs. Dumont,Jim Miller,Erick Gonzalez,win,"KO/TKO

      

        Punch",2,0:14
UFC Fight Night: Ladd vs. Dumont,Manon Fiorot,Mayra Bueno Silva,win,U-DEC,3,5:00
UFC Fight Night: Ladd vs. Dumont,Nate Landwehr,Ludovit Klein,win,"SUB

      

        Anaconda Choke",3,2:22
UFC Fight Night: Ladd vs. Dumont,Bruno Silva,Andrew Sanchez,win,"KO/TKO

      

        Punches",3,2:35
UFC Fight Night: Ladd vs. Dumont,Danny Roberts,Ramazan Emeev,win,S-DEC,3,5:00
UFC Fight Night: Ladd vs. Dumont,Luana Carolina,Loopy Godinez,win,U-DEC,3,5:00
UFC Fight Night: Ladd vs. Dumont,Batgerel Danaa,Brandon Davis,win,"KO/TKO

      

        Punches",1,2:01
UFC Fight Night: Ladd vs. Dumont,Ariane Carnelossi,Istela Nunes,win,"SUB

      

        Rear Naked Choke",3,2:57
UFC Fight Night: Dern vs. Rodriguez,Marina Rodriguez,Mackenzie Dern,win,U-DEC,5,5:00
UFC Fight Night: Dern vs. Rodriguez,Randy Brown,Jared Gooden,win,U-DEC,3,5:00
UFC Fight Night: Dern vs. Rodriguez,Matheus Nicolau,Tim Elliott,win,U-DEC,3,5:00
UFC Fight Night: Dern vs. Rodriguez,Mariya Agapova,Sabina Mazo,win,"SUB

      

        Rear Naked Choke",3,0:53
UFC Fight Night: Dern vs. Rodriguez,Chris Gutierrez,Felipe Colares,win,S-DEC,3,5:00
UFC Fight Night: Dern vs. Rodriguez,Alexandr Romanov,Jared Vanderaa,win,"KO/TKO

      

        Punches",2,4:43
UFC Fight Night: Dern vs. Rodriguez,Damon Jackson,Charles Rosa,win,U-DEC,3,5:00
UFC Fight Night: Dern vs. Rodriguez,Loopy Godinez,Silvana Gomez Juarez,win,"SUB

      

        Armbar",1,4:14
UFC Fight Night: Dern vs. Rodriguez,Steve Garcia,Charlie Ontiveros,win,"KO/TKO

      

        Punches",2,1:51
UFC Fight Night: Santos vs. Walker,Thiago Santos,Johnny Walker,win,U-DEC,5,5:00
UFC Fight Night: Santos vs. Walker,Kevin Holland,Kyle Daukaus,nc,Overturned,1,3:43
UFC Fight Night: Santos vs. Walker,Niko Price,Alex Oliveira,win,U-DEC,3,5:00
UFC Fight Night: Santos vs. Walker,Krzysztof Jotko,Misha Cirkunov,win,S-DEC,3,5:00
UFC Fight Night: Santos vs. Walker,Alexander Hernandez,Mike Breeden,win,"KO/TKO

      

        Punch",1,1:20
UFC Fight Night: Santos vs. Walker,Jared Gordon,Joe Solecki,win,S-DEC,3,5:00
UFC Fight Night: Santos vs. Walker,Casey O'Neill,Antonina Shevchenko,win,"KO/TKO

      

        Punches",2,4:47
UFC Fight Night: Santos vs. Walker,Karol Rosa,Bethe Correia,win,U-DEC,3,5:00
UFC Fight Night: Santos vs. Walker,Jamie Mullarkey,Devonte Smith,win,"KO/TKO

      

        Punches",2,2:51
UFC Fight Night: Santos vs. Walker,Douglas Silva de Andrade,Gaetano Pirrello,win,"KO/TKO

      

        Punch",1,2:04
UFC Fight Night: Santos vs. Walker,Stephanie Egger,Shanna Young,win,"KO/TKO

      

        Elbow",2,2:22
UFC Fight Night: Santos vs. Walker,Alejandro Perez,Johnny Eduardo,win,"SUB

      

        Armbar",2,4:13
UFC 266: Volkanovski vs. Ortega,Alexander Volkanovski,Brian Ortega,win,U-DEC,5,5:00
UFC 266: Volkanovski vs. Ortega,Valentina Shevchenko,Lauren Murphy,win,"KO/TKO

      

        Punches",4,4:00
UFC 266: Volkanovski vs. Ortega,Robbie Lawler,Nick Diaz,win,"KO/TKO

      

        Punch",3,0:44
UFC 266: Volkanovski vs. Ortega,Curtis Blaydes,Jairzinho Rozenstruik,win,U-DEC,3,5:00
UFC 266: Volkanovski vs. Ortega,Jessica Andrade,Cynthia Calvillo,win,"KO/TKO

      

        Punches",1,4:54
UFC 266: Volkanovski vs. Ortega,Merab Dvalishvili,Marlon Moraes,win,"KO/TKO

      

        Punches",2,4:25
UFC 266: Volkanovski vs. Ortega,Dan Hooker,Nasrat Haqparast,win,U-DEC,3,5:00
UFC 266: Volkanovski vs. Ortega,Chris Daukaus,Shamil Abdurakhimov,win,"KO/TKO

      

        Punch",2,1:23
UFC 266: Volkanovski vs. Ortega,Taila Santos,Roxanne Modafferi,win,U-DEC,3,5:00
UFC 266: Volkanovski vs. Ortega,Jalin Turner,Uros Medic,win,"SUB

      

        Rear Naked Choke",1,4:01
UFC 266: Volkanovski vs. Ortega,Nick Maximov,Cody Brundage,win,U-DEC,3,5:00
UFC 266: Volkanovski vs. Ortega,Matthew Semelsberger,Martin Sano,win,"KO/TKO

      

        Punch",1,0:15
UFC 266: Volkanovski vs. Ortega,Jonathan Pearce,Omar Morales,win,"SUB

      

        Rear Naked Choke",2,3:31
UFC Fight Night: Smith vs. Spann,Anthony Smith,Ryan Spann,win,"SUB

      

        Rear Naked Choke",1,3:47
UFC Fight Night: Smith vs. Spann,Ion Cutelaba,Devin Clark,win,U-DEC,3,5:00
UFC Fight Night: Smith vs. Spann,Ariane da Silva,Mandy Bohm,win,U-DEC,3,5:00
UFC Fight Night: Smith vs. Spann,Arman Tsarukyan,Christos Giagos,win,"KO/TKO

      

        Punches",1,2:09
UFC Fight Night: Smith vs. Spann,Nate Maness,Tony Gravely,win,"KO/TKO

      

        Punches",2,2:10
UFC Fight Night: Smith vs. Spann,Joaquin Buckley,Antonio Arroyo,win,"KO/TKO

      

        Punches",3,2:26
UFC Fight Night: Smith vs. Spann,Tafon Nchukwi,Mike Rodriguez,win,U-DEC,3,5:00
UFC Fight Night: Smith vs. Spann,Raquel Pennington,Pannie Kianzad,win,U-DEC,3,5:00
UFC Fight Night: Smith vs. Spann,Rongzhu,Brandon Jenkins,win,"KO/TKO

      

        Punches",3,4:35
UFC Fight Night: Smith vs. Spann,Montel Jackson,JP Buys,win,U-DEC,3,5:00
UFC Fight Night: Smith vs. Spann,Erin Blanchfield,Sarah Alpar,win,U-DEC,3,5:00
UFC Fight Night: Smith vs. Spann,Carlston Harris,Impa Kasanganay,win,"KO/TKO

      

        Punches",1,2:38
UFC Fight Night: Smith vs. Spann,Gustavo Lopez,Alatengheili,draw,U-DEC,3,5:00
UFC Fight Night: Smith vs. Spann,Hannah Goldy,Emily Whitmire,win,"SUB

      

        Armbar",1,4:17
UFC Fight Night: Brunson vs. Till,Derek Brunson,Darren Till,win,"SUB

      

        Rear Naked Choke",3,2:13
UFC Fight Night: Brunson vs. Till,Tom Aspinall,Serghei Spivac,win,"KO/TKO

      

        Elbow",1,2:30
UFC Fight Night: Brunson vs. Till,Alex Morono,David Zawada,win,U-DEC,3,5:00
UFC Fight Night: Brunson vs. Till,Khalil Rountree Jr.,Modestas Bukauskas,win,"KO/TKO

      

        Kick",2,2:30
UFC Fight Night: Brunson vs. Till,Paddy Pimblett,Luigi Vendramini,win,"KO/TKO

      

        Punches",1,4:25
UFC Fight Night: Brunson vs. Till,Molly McCann,Ji Yeon Kim,win,U-DEC,3,5:00
UFC Fight Night: Brunson vs. Till,Jack Shore,Liudvik Sholinian,win,U-DEC,3,5:00
UFC Fight Night: Brunson vs. Till,Julian Erosa,Charles Jourdain,win,"SUB

      

        D'Arce Choke",3,2:56
UFC Fight Night: Brunson vs. Till,Marc-Andre Barriault,Dalcha Lungiambula,win,U-DEC,3,5:00
UFC Fight Night: Barboza vs. Chikadze,Giga Chikadze,Edson Barboza,win,"KO/TKO

      

        Punch",3,1:44
UFC Fight Night: Barboza vs. Chikadze,Bryan Battle,Gilbert Urbina,win,"SUB

      

        Rear Naked Choke",2,2:15
UFC Fight Night: Barboza vs. Chikadze,Ricky Turcios,Brady Hiestand,win,S-DEC,3,5:00
UFC Fight Night: Barboza vs. Chikadze,Daniel Rodriguez,Kevin Lee,win,U-DEC,3,5:00
UFC Fight Night: Barboza vs. Chikadze,Andre Petroski,Micheal Gillmore,win,"KO/TKO

      

        Elbows",3,3:12
UFC Fight Night: Barboza vs. Chikadze,Gerald Meerschaert,Makhmud Muradov,win,"SUB

      

        Rear Naked Choke",2,1:49
UFC Fight Night: Barboza vs. Chikadze,Abdul Razak Alhassan,Alessio Di Chirico,win,"KO/TKO

      

        Kick",1,0:17
UFC Fight Night: Barboza vs. Chikadze,Wellington Turman,Sam Alvey,win,S-DEC,3,5:00
UFC Fight Night: Barboza vs. Chikadze,Dustin Jacoby,Darren Stewart,win,"KO/TKO

      

        Punches",1,3:04
UFC Fight Night: Barboza vs. Chikadze,JJ Aldrich,Vanessa Demopoulos,win,U-DEC,3,5:00
UFC Fight Night: Barboza vs. Chikadze,Pat Sabatini,Jamall Emmers,win,"SUB

      

        Heel Hook",1,1:53
UFC Fight Night: Barboza vs. Chikadze,Mana Martinez,Guido Cannetti,win,S-DEC,3,5:00
UFC Fight Night: Cannonier vs. Gastelum,Jared Cannonier,Kelvin Gastelum,win,U-DEC,5,5:00
UFC Fight Night: Cannonier vs. Gastelum,Mark Madsen,Clay Guida,win,S-DEC,3,5:00
UFC Fight Night: Cannonier vs. Gastelum,Parker Porter,Chase Sherman,win,U-DEC,3,5:00
UFC Fight Night: Cannonier vs. Gastelum,Saidyokub Kakhramonov,Trevin Jones,win,"SUB

      

        Guillotine Choke",3,4:39
UFC Fight Night: Cannonier vs. Gastelum,Vinc Pichel,Austin Hubbard,win,U-DEC,3,5:00
UFC Fight Night: Cannonier vs. Gastelum,Alexandre Pantoja,Brandon Royval,win,"SUB

      

        Rear Naked Choke",2,1:46
UFC Fight Night: Cannonier vs. Gastelum,Austin Lingo,Luis Saldana,win,U-DEC,3,5:00
UFC Fight Night: Cannonier vs. Gastelum,Brian Kelleher,Domingo Pilarte,win,U-DEC,3,5:00
UFC Fight Night: Cannonier vs. Gastelum,Josiane Nunes,Bea Malecki,win,"KO/TKO

      

        Punch",1,4:54
UFC Fight Night: Cannonier vs. Gastelum,William Knight,Fabio Cherant,win,"KO/TKO

      

        Punch",1,3:58
UFC Fight Night: Cannonier vs. Gastelum,Ignacio Bahamondes,Roosevelt Roberts,win,"KO/TKO

      

        Kick",3,4:55
UFC Fight Night: Cannonier vs. Gastelum,Ramiz Brahimaj,Sasha Palatnikov,win,"SUB

      

        Rear Naked Choke",1,2:33
UFC 265: Lewis vs. Gane,Ciryl Gane,Derrick Lewis,win,"KO/TKO

      

        Punches",3,4:11
UFC 265: Lewis vs. Gane,Jose Aldo,Pedro Munhoz,win,U-DEC,3,5:00
UFC 265: Lewis vs. Gane,Vicente Luque,Michael Chiesa,win,"SUB

      

        D'Arce Choke",1,3:25
UFC 265: Lewis vs. Gane,Tecia Pennington,Angela Hill,win,U-DEC,3,5:00
UFC 265: Lewis vs. Gane,Song Yadong,Casey Kenney,win,S-DEC,3,5:00
UFC 265: Lewis vs. Gane,Rafael Fiziev,King Green,win,U-DEC,3,5:00
UFC 265: Lewis vs. Gane,Vince Morales,Drako Rodriguez,win,U-DEC,3,5:00
UFC 265: Lewis vs. Gane,Alonzo Menifield,Ed Herman,win,U-DEC,3,5:00
UFC 265: Lewis vs. Gane,Jessica Penne,Karolina Kowalkiewicz,win,"SUB

      

        Armbar",1,4:32
UFC 265: Lewis vs. Gane,Manel Kape,Ode Osbourne,win,"KO/TKO

      

        Flying Knee",1,4:44
UFC 265: Lewis vs. Gane,Miles Johns,Anderson Dos Santos,win,"KO/TKO

      

        Punch",3,1:16
UFC 265: Lewis vs. Gane,Melissa Gatto,Victoria Leonardo,win,KO/TKO,2,5:00
UFC 265: Lewis vs. Gane,Johnny Munoz,Jamey Simmons,win,"SUB

      

        Rear Naked Choke",2,2:35
UFC Fight Night: Hall vs. Strickland,Sean Strickland,Uriah Hall,win,U-DEC,5,5:00
UFC Fight Night: Hall vs. Strickland,Cheyanne Vlismas,Gloria de Paula,win,"KO/TKO

      

        Kick",1,1:00
UFC Fight Night: Hall vs. Strickland,Jared Gooden,Niklas Stolze,win,"KO/TKO

      

        Punch",1,1:08
UFC Fight Night: Hall vs. Strickland,Melsik Baghdasaryan,Collin Anglin,win,"KO/TKO

      

        Kick",2,1:50
UFC Fight Night: Hall vs. Strickland,Jason Witt,Bryan Barberena,win,M-DEC,3,5:00
UFC Fight Night: Hall vs. Strickland,Chris Gruetzemacher,Rafa Garcia,win,U-DEC,3,5:00
UFC Fight Night: Hall vs. Strickland,Danny Chavez,Kai Kamaka,draw,M-DEC,3,5:00
UFC Fight Night: Hall vs. Strickland,Jinh Yu Frey,Ashley Yoder,win,U-DEC,3,5:00
UFC Fight Night: Hall vs. Strickland,Zarrukh Adashev,Ryan Benoit,win,U-DEC,3,5:00
UFC Fight Night: Hall vs. Strickland,Phil Rowe,Orion Cosce,win,"KO/TKO

      

        Punches",2,4:21
UFC Fight Night: Sandhagen vs. Dillashaw,TJ Dillashaw,Cory Sandhagen,win,S-DEC,5,5:00
UFC Fight Night: Sandhagen vs. Dillashaw,Raulian Paiva,Kyler Phillips,win,M-DEC,3,5:00
UFC Fight Night: Sandhagen vs. Dillashaw,Darren Elkins,Darrick Minner,win,"KO/TKO

      

        Punches",2,3:48
UFC Fight Night: Sandhagen vs. Dillashaw,Maycee Barber,Miranda Maverick,win,S-DEC,3,5:00
UFC Fight Night: Sandhagen vs. Dillashaw,Adrian Yanez,Randy Costa,win,"KO/TKO

      

        Punches",2,2:11
UFC Fight Night: Sandhagen vs. Dillashaw,Brendan Allen,Punahele Soriano,win,U-DEC,3,5:00
UFC Fight Night: Sandhagen vs. Dillashaw,Nassourdine Imavov,Ian Heinisch,win,"KO/TKO

      

        Punches",2,3:09
UFC Fight Night: Sandhagen vs. Dillashaw,Mickey Gall,Jordan Williams,win,"SUB

      

        Rear Naked Choke",1,2:57
UFC Fight Night: Sandhagen vs. Dillashaw,Julio Arce,Andre Ewell,win,"KO/TKO

      

        Punches",2,3:45
UFC Fight Night: Sandhagen vs. Dillashaw,Sijara Eubanks,Elise Reed,win,"KO/TKO

      

        Punches",1,3:49
UFC Fight Night: Sandhagen vs. Dillashaw,Diana Belbita,Hannah Goldy,win,U-DEC,3,5:00
UFC Fight Night: Makhachev vs. Moises,Islam Makhachev,Thiago Moises,win,"SUB

      

        Rear Naked Choke",4,2:38
UFC Fight Night: Makhachev vs. Moises,Miesha Tate,Marion Reneau,win,"KO/TKO

      

        Elbows",3,1:53
UFC Fight Night: Makhachev vs. Moises,Mateusz Gamrot,Jeremy Stephens,win,"SUB

      

        Kimura",1,1:05
UFC Fight Night: Makhachev vs. Moises,Rodolfo Vieira,Dustin Stoltzfus,win,"SUB

      

        Rear Naked Choke",3,1:54
UFC Fight Night: Makhachev vs. Moises,Billy Quarantillo,Gabriel Benitez,win,"KO/TKO

      

        Punches",3,3:40
UFC Fight Night: Makhachev vs. Moises,Daniel Rodriguez,Preston Parsons,win,"KO/TKO

      

        Punches",1,3:47
UFC Fight Night: Makhachev vs. Moises,Amanda Lemos,Montserrat Conejo Ruiz,win,"KO/TKO

      

        Punch",1,0:35
UFC Fight Night: Makhachev vs. Moises,Sergey Morozov,Khalid Taha,win,U-DEC,3,5:00
UFC Fight Night: Makhachev vs. Moises,Malcolm Gordon,Francisco Figueiredo,win,U-DEC,3,5:00
UFC Fight Night: Makhachev vs. Moises,Alan Baudot,Rodrigo Nascimento,nc,"Overturned

      

        Punches",2,1:29
UFC 264: Poirier vs. McGregor 3,Dustin Poirier,Conor McGregor,win,KO/TKO,1,5:00
UFC 264: Poirier vs. McGregor 3,Gilbert Burns,Stephen Thompson,win,U-DEC,3,5:00
UFC 264: Poirier vs. McGregor 3,Tai Tuivasa,Greg Hardy,win,"KO/TKO

      

        Punch",1,1:07
UFC 264: Poirier vs. McGregor 3,Irene Aldana,Yana Santos,win,"KO/TKO

      

        Punches",1,4:35
UFC 264: Poirier vs. McGregor 3,Sean O'Malley,Kris Moutinho,win,"KO/TKO

      

        Punches",3,4:33
UFC 264: Poirier vs. McGregor 3,Max Griffin,Carlos Condit,win,U-DEC,3,5:00
UFC 264: Poirier vs. McGregor 3,Michel Pereira,Niko Price,win,U-DEC,3,5:00
UFC 264: Poirier vs. McGregor 3,Ilia Topuria,Ryan Hall,win,"KO/TKO

      

        Punches",1,4:47
UFC 264: Poirier vs. McGregor 3,Dricus Du Plessis,Trevin Giles,win,"KO/TKO

      

        Punch",2,1:41
UFC 264: Poirier vs. McGregor 3,Jennifer Maia,Jessica Eye,win,U-DEC,3,5:00
UFC 264: Poirier vs. McGregor 3,Brad Tavares,Omari Akhmedov,win,S-DEC,3,5:00
UFC 264: Poirier vs. McGregor 3,Zhalgas Zhumagulov,Jerome Rivera,win,"SUB

      

        Guillotine Choke",1,2:02
UFC Fight Night: Gane vs. Volkov,Ciryl Gane,Alexander Volkov,win,U-DEC,5,5:00
UFC Fight Night: Gane vs. Volkov,Tanner Boser,Ovince Saint Preux,win,"KO/TKO

      

        Punch",2,2:31
UFC Fight Night: Gane vs. Volkov,Timur Valiev,Raoni Barcelos,win,M-DEC,3,5:00
UFC Fight Night: Gane vs. Volkov,Andre Fili,Daniel Pineda,nc,CNC,2,0:46
UFC Fight Night: Gane vs. Volkov,Tim Means,Nicolas Dalby,win,U-DEC,3,5:00
UFC Fight Night: Gane vs. Volkov,Renato Moicano,Jai Herbert,win,"SUB

      

        Rear Naked Choke",2,4:34
UFC Fight Night: Gane vs. Volkov,Kennedy Nzechukwu,Danilo Marques,win,"KO/TKO

      

        Punches",3,0:20
UFC Fight Night: Gane vs. Volkov,Shavkat Rakhmonov,Michel Prazeres,win,"SUB

      

        Rear Naked Choke",2,2:10
UFC Fight Night: Gane vs. Volkov,Jeremiah Wells,Warlley Alves,win,"KO/TKO

      

        Punch",2,0:30
UFC Fight Night: Gane vs. Volkov,Marcin Prachnio,Ike Villanueva,win,"KO/TKO

      

        Kick",2,0:56
UFC Fight Night: Gane vs. Volkov,Julia Avila,Julija Stoliarenko,win,"SUB

      

        Rear Naked Choke",3,4:19
UFC Fight Night: Gane vs. Volkov,Charles Rosa,Justin Jaynes,win,S-DEC,3,5:00
UFC Fight Night: Gane vs. Volkov,Damir Hadzovic,Yancy Medeiros,win,U-DEC,3,5:00
UFC Fight Night: Jung vs. Ige,Chan Sung Jung,Dan Ige,win,U-DEC,5,5:00
UFC Fight Night: Jung vs. Ige,Serghei Spivac,Aleksei Oleinik,win,U-DEC,3,5:00
UFC Fight Night: Jung vs. Ige,Marlon Vera,Davey Grant,win,U-DEC,3,5:00
UFC Fight Night: Jung vs. Ige,SeungWoo Choi,Julian Erosa,win,"KO/TKO

      

        Punch",1,1:37
UFC Fight Night: Jung vs. Ige,Bruno Silva,Wellington Turman,win,"KO/TKO

      

        Punches",1,4:45
UFC Fight Night: Jung vs. Ige,Matt Brown,Dhiego Lima,win,"KO/TKO

      

        Punch",2,3:02
UFC Fight Night: Jung vs. Ige,Nicolae Negumereanu,Aleksa Camur,win,S-DEC,3,5:00
UFC Fight Night: Jung vs. Ige,Virna Jandiroba,Kanako Murata,win,KO/TKO,2,5:00
UFC Fight Night: Jung vs. Ige,Khaos Williams,Matthew Semelsberger,win,U-DEC,3,5:00
UFC Fight Night: Jung vs. Ige,Josh Parisian,Roque Martinez,win,S-DEC,3,5:00
UFC Fight Night: Jung vs. Ige,Ricky Glenn,Joaquim Silva,win,"KO/TKO

      

        Punches",1,0:37
UFC Fight Night: Jung vs. Ige,Casey O'Neill,Lara Procopio,win,"SUB

      

        Rear Naked Choke",3,2:54
UFC 263: Adesanya vs. Vettori 2,Israel Adesanya,Marvin Vettori,win,U-DEC,5,5:00
UFC 263: Adesanya vs. Vettori 2,Brandon Moreno,Deiveson Figueiredo,win,"SUB

      

        Rear Naked Choke",3,2:26
UFC 263: Adesanya vs. Vettori 2,Leon Edwards,Nate Diaz,win,U-DEC,5,5:00
UFC 263: Adesanya vs. Vettori 2,Belal Muhammad,Demian Maia,win,U-DEC,3,5:00
UFC 263: Adesanya vs. Vettori 2,Paul Craig,Jamahal Hill,win,"KO/TKO

      

        Punches",1,1:59
UFC 263: Adesanya vs. Vettori 2,Brad Riddell,Drew Dober,win,U-DEC,3,5:00
UFC 263: Adesanya vs. Vettori 2,Eryk Anders,Darren Stewart,win,U-DEC,3,5:00
UFC 263: Adesanya vs. Vettori 2,Lauren Murphy,Joanne Wood,win,S-DEC,3,5:00
UFC 263: Adesanya vs. Vettori 2,Movsar Evloev,Hakeem Dawodu,win,U-DEC,3,5:00
UFC 263: Adesanya vs. Vettori 2,Pannie Kianzad,Alexis Davis,win,U-DEC,3,5:00
UFC 263: Adesanya vs. Vettori 2,Terrance McKinney,Matt Frevola,win,"KO/TKO

      

        Punch",1,0:07
UFC 263: Adesanya vs. Vettori 2,Steven Peterson,Chase Hooper,win,U-DEC,3,5:00
UFC 263: Adesanya vs. Vettori 2,Fares Ziam,Luigi Vendramini,win,M-DEC,3,5:00
UFC 263: Adesanya vs. Vettori 2,Carlos Felipe,Jake Collier,win,S-DEC,3,5:00
UFC Fight Night: Rozenstruik vs. Sakai,Jairzinho Rozenstruik,Augusto Sakai,win,"KO/TKO

      

        Punches",1,4:59
UFC Fight Night: Rozenstruik vs. Sakai,Marcin Tybura,Walt Harris,win,"KO/TKO

      

        Punches",1,4:06
UFC Fight Night: Rozenstruik vs. Sakai,Roman Dolidze,Laureano Staropoli,win,U-DEC,3,5:00
UFC Fight Night: Rozenstruik vs. Sakai,Santiago Ponzinibbio,Miguel Baeza,win,U-DEC,3,5:00
UFC Fight Night: Rozenstruik vs. Sakai,Gregory Rodrigues,Dusko Todorovic,win,U-DEC,3,5:00
UFC Fight Night: Rozenstruik vs. Sakai,Montana De La Rosa,Ariane da Silva,win,"KO/TKO

      

        Punches",2,4:27
UFC Fight Night: Rozenstruik vs. Sakai,Ilir Latifi,Tanner Boser,win,S-DEC,3,5:00
UFC Fight Night: Rozenstruik vs. Sakai,Muslim Salikhov,Francisco Trinaldo,win,U-DEC,3,5:00
UFC Fight Night: Rozenstruik vs. Sakai,Kamuela Kirk,Makwan Amirkhani,win,U-DEC,3,5:00
UFC Fight Night: Rozenstruik vs. Sakai,Alan Patrick,Mason Jones,nc,CNC,2,2:14
UFC Fight Night: Rozenstruik vs. Sakai,Manon Fiorot,Tabatha Ricci,win,"KO/TKO

      

        Punches",2,3:00
UFC Fight Night: Rozenstruik vs. Sakai,Sean Woodson,Youssef Zalal,win,S-DEC,3,5:00
UFC Fight Night: Rozenstruik vs. Sakai,Claudio Puelles,Jordan Leavitt,win,U-DEC,3,5:00
UFC Fight Night: Font vs. Garbrandt,Rob Font,Cody Garbrandt,win,U-DEC,5,5:00
UFC Fight Night: Font vs. Garbrandt,Carla Esparza,Yan Xiaonan,win,"KO/TKO

      

        Punches",2,2:58
UFC Fight Night: Font vs. Garbrandt,Jared Vanderaa,Justin Tafa,win,U-DEC,3,5:00
UFC Fight Night: Font vs. Garbrandt,Norma Dumont,Felicia Spencer,win,S-DEC,3,5:00
UFC Fight Night: Font vs. Garbrandt,Ricardo Ramos,Bill Algeo,win,U-DEC,3,5:00
