event,date,fighter_1,fighter_2,weight,result,method,round,time
UFC 257: Poirier vs. McGregor,"January 23, 2021",Julianna Pena,Sara McMann,Women's Bantamweight,win,"SUB

      

        Rear Naked Choke",3,3:39
UFC 257: Poirier vs. McGregor,"January 23, 2021",Marcin Prachnio,Khalil Rountree Jr.,Light Heavyweight,win,U-DEC,3,5:00
UFC 257: Poirier vs. McGregor,"January 23, 2021",Movsar Evloev,Nik Lentz,Catch Weight,win,S-DEC,3,5:00
UFC 257: Poirier vs. McGregor,"January 23, 2021",Amir Albazi,Zhalgas Zhumagulov,Flyweight,win,U-DEC,3,5:00
UFC Fight Night: Chiesa vs. Magny,"January 20, 2021",Michael Chiesa,Neil Magny,Welterweight,win,U-DEC,5,5:00
UFC Fight Night: Chiesa vs. Magny,"January 20, 2021",Warlley Alves,Mounir Lazzez,Welterweight,win,"KO/TKO

      

        Kick",1,2:35
UFC Fight Night: Chiesa vs. Magny,"January 20, 2021",Ike Villanueva,Vinicius Moreira,Light Heavyweight,win,"KO/TKO

      

        Punch",2,0:39
UFC Fight Night: Chiesa vs. Magny,"January 20, 2021",Viviane Araujo,Roxanne Modafferi,Women's Flyweight,win,U-DEC,3,5:00
UFC Fight Night: Chiesa vs. Magny,"January 20, 2021",Matt Schnell,Tyson Nam,Flyweight,win,S-DEC,3,5:00
UFC Fight Night: Chiesa vs. Magny,"January 20, 2021",Lerone Murphy,Douglas Silva de Andrade,Featherweight,win,U-DEC,3,5:00
UFC Fight Night: Chiesa vs. Magny,"January 20, 2021",Omari Akhmedov,Tom Breese,Middleweight,win,"SUB

      

        Arm Triangle",2,1:41
UFC Fight Night: Chiesa vs. Magny,"January 20, 2021",Ricky Simon,Gaetano Pirrello,Bantamweight,win,"SUB

      

        Arm Triangle",2,4:00
UFC Fight Night: Chiesa vs. Magny,"January 20, 2021",Sumudaerji,Zarrukh Adashev,Flyweight,win,U-DEC,3,5:00
UFC Fight Night: Chiesa vs. Magny,"January 20, 2021",Dalcha Lungiambula,Markus Perez,Middleweight,win,U-DEC,3,5:00
UFC Fight Night: Chiesa vs. Magny,"January 20, 2021",Francisco Figueiredo,Jerome Rivera,Flyweight,win,U-DEC,3,5:00
UFC Fight Night: Chiesa vs. Magny,"January 20, 2021",Mike Davis,Mason Jones,Lightweight,win,U-DEC,3,5:00
UFC Fight Night: Chiesa vs. Magny,"January 20, 2021",Umar Nurmagomedov,Sergey Morozov,Bantamweight,win,"SUB

      

        Rear Naked Choke",2,3:39
UFC Fight Night: Chiesa vs. Magny,"January 20, 2021",Manon Fiorot,Victoria Leonardo,Women's Flyweight,win,"KO/TKO

      

        Punches",2,4:08
UFC Fight Night: Holloway vs. Kattar,"January 16, 2021",Max Holloway,Calvin Kattar,Featherweight,win,U-DEC,5,5:00
UFC Fight Night: Holloway vs. Kattar,"January 16, 2021",Carlos Condit,Matt Brown,Welterweight,win,U-DEC,3,5:00
UFC Fight Night: Holloway vs. Kattar,"January 16, 2021",Li Jingliang,Santiago Ponzinibbio,Welterweight,win,"KO/TKO

      

        Punch",1,4:25
UFC Fight Night: Holloway vs. Kattar,"January 16, 2021",Alessio Di Chirico,Joaquin Buckley,Middleweight,win,"KO/TKO

      

        Kick",1,2:12
UFC Fight Night: Holloway vs. Kattar,"January 16, 2021",Punahele Soriano,Dusko Todorovic,Middleweight,win,"KO/TKO

      

        Punch",1,4:48
UFC Fight Night: Holloway vs. Kattar,"January 16, 2021",Joselyne Edwards,Wu Yanan,Women's Bantamweight,win,U-DEC,3,5:00
UFC Fight Night: Holloway vs. Kattar,"January 16, 2021",Carlos Felipe,Justin Tafa,Heavyweight,win,S-DEC,3,5:00
UFC Fight Night: Holloway vs. Kattar,"January 16, 2021",Ramazan Emeev,David Zawada,Welterweight,win,S-DEC,3,5:00
UFC Fight Night: Holloway vs. Kattar,"January 16, 2021",Vanessa Melo,Sarah Moras,Women's Bantamweight,win,U-DEC,3,5:00
UFC Fight Night: Holloway vs. Kattar,"January 16, 2021",Austin Lingo,Jacob Kilburn,Featherweight,win,U-DEC,3,5:00
UFC Fight Night: Thompson vs. Neal,"December 19, 2020",Stephen Thompson,Geoff Neal,Welterweight,win,U-DEC,5,5:00
UFC Fight Night: Thompson vs. Neal,"December 19, 2020",Jose Aldo,Marlon Vera,Bantamweight,win,U-DEC,3,5:00
UFC Fight Night: Thompson vs. Neal,"December 19, 2020",Michel Pereira,Khaos Williams,Welterweight,win,U-DEC,3,5:00
UFC Fight Night: Thompson vs. Neal,"December 19, 2020",Rob Font,Marlon Moraes,Bantamweight,win,"KO/TKO

      

        Punches",1,3:47
UFC Fight Night: Thompson vs. Neal,"December 19, 2020",Marcin Tybura,Greg Hardy,Heavyweight,win,"KO/TKO

      

        Punches",2,4:31
UFC Fight Night: Thompson vs. Neal,"December 19, 2020",Anthony Pettis,Alex Morono,Welterweight,win,U-DEC,3,5:00
UFC Fight Night: Thompson vs. Neal,"December 19, 2020",Pannie Kianzad,Sijara Eubanks,Women's Bantamweight,win,U-DEC,3,5:00
UFC Fight Night: Thompson vs. Neal,"December 19, 2020",Deron Winn,Antonio Arroyo,Catch Weight,win,U-DEC,3,5:00
UFC Fight Night: Thompson vs. Neal,"December 19, 2020",Taila Santos,Gillian Robertson,Women's Flyweight,win,U-DEC,3,5:00
UFC Fight Night: Thompson vs. Neal,"December 19, 2020",Tafon Nchukwi,Jamie Pickett,Middleweight,win,U-DEC,3,5:00
UFC Fight Night: Thompson vs. Neal,"December 19, 2020",Jimmy Flick,Cody Durden,Flyweight,win,"SUB

      

        Triangle Choke",1,3:18
UFC Fight Night: Thompson vs. Neal,"December 19, 2020",Christos Giagos,Carlton Minus,Catch Weight,win,U-DEC,3,5:00
UFC 256: Figueiredo vs. Moreno,"December 12, 2020",Deiveson Figueiredo,Brandon Moreno,Flyweight,"draw


draw",M-DEC,5,5:00
UFC 256: Figueiredo vs. Moreno,"December 12, 2020",Charles Oliveira,Tony Ferguson,Lightweight,win,U-DEC,3,5:00
UFC 256: Figueiredo vs. Moreno,"December 12, 2020",Mackenzie Dern,Virna Jandiroba,Women's Strawweight,win,U-DEC,3,5:00
UFC 256: Figueiredo vs. Moreno,"December 12, 2020",Kevin Holland,Jacare Souza,Middleweight,win,"KO/TKO

      

        Punch",1,1:45
UFC 256: Figueiredo vs. Moreno,"December 12, 2020",Ciryl Gane,Junior Dos Santos,Heavyweight,win,"KO/TKO

      

        Elbow",2,2:34
UFC 256: Figueiredo vs. Moreno,"December 12, 2020",Cub Swanson,Daniel Pineda,Featherweight,win,"KO/TKO

      

        Punch",2,1:52
UFC 256: Figueiredo vs. Moreno,"December 12, 2020",Rafael Fiziev,Renato Moicano,Lightweight,win,"KO/TKO

      

        Punch",1,4:05
UFC 256: Figueiredo vs. Moreno,"December 12, 2020",Gavin Tucker,Billy Quarantillo,Featherweight,win,U-DEC,3,5:00
UFC 256: Figueiredo vs. Moreno,"December 12, 2020",Tecia Pennington,Sam Hughes,Women's Strawweight,win,KO/TKO,1,5:00
UFC 256: Figueiredo vs. Moreno,"December 12, 2020",Chase Hooper,Peter Barrett,Featherweight,win,"SUB

      

        Heel Hook",3,3:02
UFC Fight Night: Hermansson vs. Vettori,"December 05, 2020",Marvin Vettori,Jack Hermansson,Middleweight,win,U-DEC,5,5:00
UFC Fight Night: Hermansson vs. Vettori,"December 05, 2020",Jamahal Hill,Ovince Saint Preux,Light Heavyweight,win,"KO/TKO

      

        Punches",2,3:37
UFC Fight Night: Hermansson vs. Vettori,"December 05, 2020",Gabriel Benitez,Justin Jaynes,Lightweight,win,"KO/TKO

      

        Knee",1,4:06
UFC Fight Night: Hermansson vs. Vettori,"December 05, 2020",Roman Dolidze,John Allan,Light Heavyweight,win,S-DEC,3,5:00
UFC Fight Night: Hermansson vs. Vettori,"December 05, 2020",Jordan Leavitt,Matt Wiman,Lightweight,win,"KO/TKO

      

        Slam",1,0:22
UFC Fight Night: Hermansson vs. Vettori,"December 05, 2020",Louis Smolka,Jose Quinonez,Bantamweight,win,"KO/TKO

      

        Punches",2,2:15
UFC Fight Night: Hermansson vs. Vettori,"December 05, 2020",Ilia Topuria,Damon Jackson,Featherweight,win,"KO/TKO

      

        Punch",1,2:38
UFC Fight Night: Hermansson vs. Vettori,"December 05, 2020",Jake Collier,Gian Villante,Heavyweight,win,U-DEC,3,5:00
UFC Fight Night: Smith vs. Clark,"November 28, 2020",Anthony Smith,Devin Clark,Light Heavyweight,win,"SUB

      

        Triangle Choke",1,2:34
UFC Fight Night: Smith vs. Clark,"November 28, 2020",Miguel Baeza,Takashi Sato,Welterweight,win,"SUB

      

        Arm Triangle",2,4:28
UFC Fight Night: Smith vs. Clark,"November 28, 2020",Parker Porter,Josh Parisian,Heavyweight,win,U-DEC,3,5:00
UFC Fight Night: Smith vs. Clark,"November 28, 2020",Bill Algeo,Spike Carlyle,Featherweight,win,U-DEC,3,5:00
UFC Fight Night: Smith vs. Clark,"November 28, 2020",Norma Dumont,Ashlee Evans-Smith,Women's Bantamweight,win,U-DEC,3,5:00
UFC Fight Night: Smith vs. Clark,"November 28, 2020",Jonathan Pearce,Kai Kamaka III,Featherweight,win,"KO/TKO

      

        Punches",2,4:28
UFC Fight Night: Smith vs. Clark,"November 28, 2020",Anderson Dos Santos,Martin Day,Bantamweight,win,"SUB

      

        Guillotine Choke",1,4:35
UFC Fight Night: Smith vs. Clark,"November 28, 2020",Gina Mazany,Rachael Ostovich,Women's Flyweight,win,"KO/TKO

      

        Kick",3,4:10
UFC Fight Night: Smith vs. Clark,"November 28, 2020",Sumudaerji,Malcolm Gordon,Flyweight,win,"KO/TKO

      

        Punches",1,0:44
UFC Fight Night: Smith vs. Clark,"November 28, 2020",Nate Maness,Luke Sanders,Catch Weight,win,"SUB

      

        Rear Naked Choke",2,2:29
UFC 255: Figueiredo vs. Perez,"November 21, 2020",Deiveson Figueiredo,Alex Perez,Flyweight,win,"SUB

      

        Guillotine Choke",1,1:57
UFC 255: Figueiredo vs. Perez,"November 21, 2020",Valentina Shevchenko,Jennifer Maia,Women's Flyweight,win,U-DEC,5,5:00
UFC 255: Figueiredo vs. Perez,"November 21, 2020",Tim Means,Mike Perry,Welterweight,win,U-DEC,3,5:00
UFC 255: Figueiredo vs. Perez,"November 21, 2020",Katlyn Cerminara,Cynthia Calvillo,Women's Flyweight,win,U-DEC,3,5:00
UFC 255: Figueiredo vs. Perez,"November 21, 2020",Paul Craig,Mauricio Rua,Light Heavyweight,win,"KO/TKO

      

        Punches",2,3:36
UFC 255: Figueiredo vs. Perez,"November 21, 2020",Brandon Moreno,Brandon Royval,Flyweight,win,"KO/TKO

      

        Punches",1,4:59
UFC 255: Figueiredo vs. Perez,"November 21, 2020",Joaquin Buckley,Jordan Wright,Middleweight,win,"KO/TKO

      

        Punches",2,0:18
UFC 255: Figueiredo vs. Perez,"November 21, 2020",Antonina Shevchenko,Ariane da Silva,Women's Flyweight,win,"KO/TKO

      

        Punches",2,4:33
UFC 255: Figueiredo vs. Perez,"November 21, 2020",Nicolas Dalby,Daniel Rodriguez,Welterweight,win,U-DEC,3,5:00
UFC 255: Figueiredo vs. Perez,"November 21, 2020",Alan Jouban,Jared Gooden,Welterweight,win,U-DEC,3,5:00
UFC 255: Figueiredo vs. Perez,"November 21, 2020",Kyle Daukaus,Dustin Stoltzfus,Middleweight,win,U-DEC,3,5:00
UFC 255: Figueiredo vs. Perez,"November 21, 2020",Sasha Palatnikov,Louis Cosce,Welterweight,win,"KO/TKO

      

        Punches",3,2:47
UFC Fight Night: Felder vs. Dos Anjos,"November 14, 2020",Rafael Dos Anjos,Paul Felder,Lightweight,win,S-DEC,5,5:00
UFC Fight Night: Felder vs. Dos Anjos,"November 14, 2020",Khaos Williams,Abdul Razak Alhassan,Welterweight,win,"KO/TKO

      

        Punch",1,0:30
UFC Fight Night: Felder vs. Dos Anjos,"November 14, 2020",Ashley Yoder,Miranda Granger,Women's Strawweight,win,U-DEC,3,5:00
UFC Fight Night: Felder vs. Dos Anjos,"November 14, 2020",Sean Strickland,Brendan Allen,Catch Weight,win,"KO/TKO

      

        Punches",2,1:32
UFC Fight Night: Felder vs. Dos Anjos,"November 14, 2020",Cory McKenna,Kay Hansen,Women's Strawweight,win,U-DEC,3,5:00
UFC Fight Night: Felder vs. Dos Anjos,"November 14, 2020",Kanako Murata,Randa Markos,Women's Strawweight,win,U-DEC,3,5:00
UFC Fight Night: Felder vs. Dos Anjos,"November 14, 2020",Tony Gravely,Geraldo de Freitas,Bantamweight,win,S-DEC,3,5:00
UFC Fight Night: Felder vs. Dos Anjos,"November 14, 2020",Alex Morono,Rhys McKee,Welterweight,win,U-DEC,3,5:00
UFC Fight Night: Felder vs. Dos Anjos,"November 14, 2020",Don'Tale Mayes,Roque Martinez,Heavyweight,win,U-DEC,3,5:00
UFC Fight Night: Santos vs. Teixeira,"November 07, 2020",Glover Teixeira,Thiago Santos,Light Heavyweight,win,"SUB

      

        Rear Naked Choke",3,1:49
UFC Fight Night: Santos vs. Teixeira,"November 07, 2020",Andrei Arlovski,Tanner Boser,Heavyweight,win,U-DEC,3,5:00
UFC Fight Night: Santos vs. Teixeira,"November 07, 2020",Raoni Barcelos,Khalid Taha,Bantamweight,win,U-DEC,3,5:00
UFC Fight Night: Santos vs. Teixeira,"November 07, 2020",Giga Chikadze,Jamey Simmons,Featherweight,win,"KO/TKO

      

        Kick",1,3:51
UFC Fight Night: Santos vs. Teixeira,"November 07, 2020",Yan Xiaonan,Claudia Gadelha,Women's Strawweight,win,U-DEC,3,5:00
UFC Fight Night: Santos vs. Teixeira,"November 07, 2020",Trevin Giles,Bevon Lewis,Middleweight,win,"KO/TKO

      

        Punches",3,1:26
UFC Fight Night: Santos vs. Teixeira,"November 07, 2020",Alexandr Romanov,Marcos Rogerio de Lima,Heavyweight,win,"SUB

      

        Forearm Choke",1,4:48
UFC Fight Night: Santos vs. Teixeira,"November 07, 2020",Darren Elkins,Eduardo Garagorri,Featherweight,win,"SUB

      

        Rear Naked Choke",3,2:22
UFC Fight Night: Santos vs. Teixeira,"November 07, 2020",Max Griffin,Ramiz Brahimaj,Welterweight,win,"KO/TKO

      

        Elbow",3,2:03
UFC Fight Night: Santos vs. Teixeira,"November 07, 2020",Gustavo Lopez,Anthony Birchak,Bantamweight,win,"SUB

      

        Rear Naked Choke",1,2:43
UFC Fight Night: Hall vs. Silva,"October 31, 2020",Uriah Hall,Anderson Silva,Middleweight,win,"KO/TKO

      

        Punches",4,1:24
UFC Fight Night: Hall vs. Silva,"October 31, 2020",Bryce Mitchell,Andre Fili,Featherweight,win,U-DEC,3,5:00
UFC Fight Night: Hall vs. Silva,"October 31, 2020",Greg Hardy,Maurice Greene,Heavyweight,win,"KO/TKO

      

        Punches",2,1:12
UFC Fight Night: Hall vs. Silva,"October 31, 2020",Kevin Holland,Charlie Ontiveros,Middleweight,win,"SUB

      

        Injury",1,2:39
UFC Fight Night: Hall vs. Silva,"October 31, 2020",Thiago Moises,King Green,Lightweight,win,U-DEC,3,5:00
UFC Fight Night: Hall vs. Silva,"October 31, 2020",Alexander Hernandez,Chris Gruetzemacher,Lightweight,win,"KO/TKO

      

        Punches",1,1:46
UFC Fight Night: Hall vs. Silva,"October 31, 2020",Adrian Yanez,Victor Rodriguez,Bantamweight,win,"KO/TKO

      

        Kick",1,2:46
UFC Fight Night: Hall vs. Silva,"October 31, 2020",Sean Strickland,Jack Marshman,Middleweight,win,U-DEC,3,5:00
UFC Fight Night: Hall vs. Silva,"October 31, 2020",Jason Witt,Cole Williams,Welterweight,win,"SUB

      

        Arm Triangle",2,2:09
UFC Fight Night: Hall vs. Silva,"October 31, 2020",Dustin Jacoby,Justin Ledet,Light Heavyweight,win,"KO/TKO

      

        Punch",1,2:38
UFC Fight Night: Hall vs. Silva,"October 31, 2020",Miles Johns,Kevin Natividad,Bantamweight,win,"KO/TKO

      

        Punch",3,2:51
UFC 254: Khabib vs. Gaethje,"October 24, 2020",Khabib Nurmagomedov,Justin Gaethje,Lightweight,win,"SUB

      

        Triangle Choke",2,1:34
UFC 254: Khabib vs. Gaethje,"October 24, 2020",Robert Whittaker,Jared Cannonier,Middleweight,win,U-DEC,3,5:00
UFC 254: Khabib vs. Gaethje,"October 24, 2020",Alexander Volkov,Walt Harris,Heavyweight,win,"KO/TKO

      

        Kick",2,1:15
UFC 254: Khabib vs. Gaethje,"October 24, 2020",Phil Hawes,Jacob Malkoun,Middleweight,win,"KO/TKO

      

        Punches",1,0:18
UFC 254: Khabib vs. Gaethje,"October 24, 2020",Lauren Murphy,Liliya Shakirova,Women's Flyweight,win,"SUB

      

        Rear Naked Choke",2,3:31
UFC 254: Khabib vs. Gaethje,"October 24, 2020",Magomed Ankalaev,Ion Cutelaba,Light Heavyweight,win,"KO/TKO

      

        Punch",1,4:19
UFC 254: Khabib vs. Gaethje,"October 24, 2020",Tai Tuivasa,Stefan Struve,Heavyweight,win,"KO/TKO

      

        Punches",1,4:59
UFC 254: Khabib vs. Gaethje,"October 24, 2020",Casey Kenney,Nathaniel Wood,Catch Weight,win,U-DEC,3,5:00
UFC 254: Khabib vs. Gaethje,"October 24, 2020",Shavkat Rakhmonov,Alex Oliveira,Welterweight,win,"SUB

      

        Guillotine Choke",1,4:40
UFC 254: Khabib vs. Gaethje,"October 24, 2020",Da Woon Jung,Sam Alvey,Light Heavyweight,"draw


draw",S-DEC,3,5:00
UFC 254: Khabib vs. Gaethje,"October 24, 2020",Miranda Maverick,Liana Jojua,Women's Flyweight,win,KO/TKO,1,5:00
UFC 254: Khabib vs. Gaethje,"October 24, 2020",Joel Alvarez,Alexander Yakovlev,Lightweight,win,"SUB

      

        Armbar",1,3:00
UFC Fight Night: Ortega vs. The Korean Zombie,"October 17, 2020",Brian Ortega,Chan Sung Jung,Featherweight,win,U-DEC,5,5:00
UFC Fight Night: Ortega vs. The Korean Zombie,"October 17, 2020",Jessica Andrade,Katlyn Cerminara,Women's Flyweight,win,"KO/TKO

      

        Punch",1,4:55
UFC Fight Night: Ortega vs. The Korean Zombie,"October 17, 2020",Jimmy Crute,Modestas Bukauskas,Light Heavyweight,win,"KO/TKO

      

        Punches",1,2:01
UFC Fight Night: Ortega vs. The Korean Zombie,"October 17, 2020",James Krause,Claudio Silva,Welterweight,win,U-DEC,3,5:00
UFC Fight Night: Ortega vs. The Korean Zombie,"October 17, 2020",Jonathan Martinez,Thomas Almeida,Featherweight,win,U-DEC,3,5:00
UFC Fight Night: Ortega vs. The Korean Zombie,"October 17, 2020",Guram Kutateladze,Mateusz Gamrot,Lightweight,win,S-DEC,3,5:00
UFC Fight Night: Ortega vs. The Korean Zombie,"October 17, 2020",Gillian Robertson,Poliana Botelho,Women's Flyweight,win,U-DEC,3,5:00
UFC Fight Night: Ortega vs. The Korean Zombie,"October 17, 2020",JunYong Park,John Phillips,Middleweight,win,U-DEC,3,5:00
UFC Fight Night: Ortega vs. The Korean Zombie,"October 17, 2020",Fares Ziam,Jamie Mullarkey,Lightweight,win,U-DEC,3,5:00
UFC Fight Night: Ortega vs. The Korean Zombie,"October 17, 2020",Maxim Grishin,Gadzhimurad Antigulov,Light Heavyweight,win,"KO/TKO

      

        Punches",2,4:58
UFC Fight Night: Ortega vs. The Korean Zombie,"October 17, 2020",Said Nurmagomedov,Mark Striegl,Bantamweight,win,"KO/TKO

      

        Punches",1,0:51
UFC Fight Night: Moraes vs. Sandhagen,"October 10, 2020",Cory Sandhagen,Marlon Moraes,Bantamweight,win,"KO/TKO

      

        Kick",2,1:03
UFC Fight Night: Moraes vs. Sandhagen,"October 10, 2020",Edson Barboza,Makwan Amirkhani,Featherweight,win,U-DEC,3,5:00
UFC Fight Night: Moraes vs. Sandhagen,"October 10, 2020",Marcin Tybura,Ben Rothwell,Heavyweight,win,U-DEC,3,5:00
UFC Fight Night: Moraes vs. Sandhagen,"October 10, 2020",Dricus Du Plessis,Markus Perez,Middleweight,win,"KO/TKO

      

        Punch",1,3:22
UFC Fight Night: Moraes vs. Sandhagen,"October 10, 2020",Tom Aspinall,Alan Baudot,Heavyweight,win,"KO/TKO

      

        Punches",1,1:35
UFC Fight Night: Moraes vs. Sandhagen,"October 10, 2020",Ilia Topuria,Youssef Zalal,Featherweight,win,U-DEC,3,5:00
UFC Fight Night: Moraes vs. Sandhagen,"October 10, 2020",Tom Breese,KB Bhullar,Middleweight,win,"KO/TKO

      

        Punch",1,1:42
UFC Fight Night: Moraes vs. Sandhagen,"October 10, 2020",Chris Daukaus,Rodrigo Nascimento,Heavyweight,win,"KO/TKO

      

        Punches",1,0:45
UFC Fight Night: Moraes vs. Sandhagen,"October 10, 2020",Joaquin Buckley,Impa Kasanganay,Middleweight,win,"KO/TKO

      

        Spinning Back Kick",2,2:03
UFC Fight Night: Moraes vs. Sandhagen,"October 10, 2020",Tony Kelley,Ali AlQaisi,Bantamweight,win,U-DEC,3,5:00
UFC Fight Night: Moraes vs. Sandhagen,"October 10, 2020",Giga Chikadze,Omar Morales,Featherweight,win,U-DEC,3,5:00
UFC Fight Night: Moraes vs. Sandhagen,"October 10, 2020",Tracy Cortez,Stephanie Egger,Women's Bantamweight,win,U-DEC,3,5:00
UFC Fight Night: Moraes vs. Sandhagen,"October 10, 2020",Tagir Ulanbekov,Bruno Silva,Flyweight,win,U-DEC,3,5:00
UFC Fight Night: Holm vs. Aldana,"October 03, 2020",Holly Holm,Irene Aldana,Women's Bantamweight,win,U-DEC,5,5:00
UFC Fight Night: Holm vs. Aldana,"October 03, 2020",Carlos Felipe,Yorgan De Castro,Heavyweight,win,U-DEC,3,5:00
UFC Fight Night: Holm vs. Aldana,"October 03, 2020",Germaine de Randamie,Julianna Pena,Women's Bantamweight,win,"SUB

      

        Guillotine Choke",3,3:25
UFC Fight Night: Holm vs. Aldana,"October 03, 2020",Kyler Phillips,Cameron Else,Bantamweight,win,"KO/TKO

      

        Elbows",2,0:44
UFC Fight Night: Holm vs. Aldana,"October 03, 2020",Dusko Todorovic,Dequan Townsend,Middleweight,win,"KO/TKO

      

        Punches",2,3:15
UFC Fight Night: Holm vs. Aldana,"October 03, 2020",Carlos Condit,Court McGee,Welterweight,win,U-DEC,3,5:00
UFC Fight Night: Holm vs. Aldana,"October 03, 2020",Charles Jourdain,Josh Culibao,Featherweight,"draw


draw",S-DEC,3,5:00
UFC Fight Night: Holm vs. Aldana,"October 03, 2020",Nassourdine Imavov,Jordan Williams,Middleweight,win,U-DEC,3,5:00
UFC Fight Night: Holm vs. Aldana,"October 03, 2020",Loma Lookboonmee,Jinh Yu Frey,Women's Strawweight,win,U-DEC,3,5:00
UFC Fight Night: Holm vs. Aldana,"October 03, 2020",Casey Kenney,Alatengheili,Bantamweight,win,U-DEC,3,5:00
UFC Fight Night: Holm vs. Aldana,"October 03, 2020",Luigi Vendramini,Jessin Ayari,Lightweight,win,"KO/TKO

      

        Kick",1,1:12
UFC 253: Adesanya vs. Costa,"September 26, 2020",Israel Adesanya,Paulo Costa,Middleweight,win,"KO/TKO

      

        Punch",2,3:59
UFC 253: Adesanya vs. Costa,"September 26, 2020",Jan Blachowicz,Dominick Reyes,Light Heavyweight,win,"KO/TKO

      

        Punch",2,4:36
UFC 253: Adesanya vs. Costa,"September 26, 2020",Brandon Royval,Kai Kara-France,Flyweight,win,"SUB

      

        Guillotine Choke",2,0:48
UFC 253: Adesanya vs. Costa,"September 26, 2020",Ketlen Vieira,Sijara Eubanks,Women's Bantamweight,win,U-DEC,3,5:00
UFC 253: Adesanya vs. Costa,"September 26, 2020",Hakeem Dawodu,Zubaira Tukhugov,Featherweight,win,S-DEC,3,5:00
UFC 253: Adesanya vs. Costa,"September 26, 2020",Brad Riddell,Alex Da Silva,Lightweight,win,U-DEC,3,5:00
UFC 253: Adesanya vs. Costa,"September 26, 2020",Jake Matthews,Diego Sanchez,Welterweight,win,U-DEC,3,5:00
UFC 253: Adesanya vs. Costa,"September 26, 2020",Ludovit Klein,Shane Young,Featherweight,win,"KO/TKO

      

        Kick",1,1:16
UFC 253: Adesanya vs. Costa,"September 26, 2020",William Knight,Aleksa Camur,Light Heavyweight,win,U-DEC,3,5:00
UFC 253: Adesanya vs. Costa,"September 26, 2020",Juan Espino,Jeff Hughes,Heavyweight,win,"SUB

      

        Scarf Hold",1,3:48
UFC 253: Adesanya vs. Costa,"September 26, 2020",Danilo Marques,Khadis Ibragimov,Light Heavyweight,win,U-DEC,3,5:00
UFC Fight Night: Covington vs. Woodley,"September 19, 2020",Colby Covington,Tyron Woodley,Welterweight,win,KO/TKO,5,1:19
UFC Fight Night: Covington vs. Woodley,"September 19, 2020",Donald Cerrone,Niko Price,Welterweight,"nc


nc",Overturned,3,5:00
UFC Fight Night: Covington vs. Woodley,"September 19, 2020",Khamzat Chimaev,Gerald Meerschaert,Middleweight,win,"KO/TKO

      

        Punch",1,0:17
UFC Fight Night: Covington vs. Woodley,"September 19, 2020",Johnny Walker,Ryan Spann,Light Heavyweight,win,"KO/TKO

      

        Punches",1,2:43
UFC Fight Night: Covington vs. Woodley,"September 19, 2020",Mackenzie Dern,Randa Markos,Women's Strawweight,win,"SUB

      

        Armbar",1,3:44
UFC Fight Night: Covington vs. Woodley,"September 19, 2020",Kevin Holland,Darren Stewart,Middleweight,win,S-DEC,3,5:00
UFC Fight Night: Covington vs. Woodley,"September 19, 2020",David Dvorak,Jordan Espinosa,Flyweight,win,U-DEC,3,5:00
UFC Fight Night: Covington vs. Woodley,"September 19, 2020",Damon Jackson,Mirsad Bektic,Featherweight,win,"SUB

      

        Guillotine Choke",3,1:21
UFC Fight Night: Covington vs. Woodley,"September 19, 2020",Mayra Bueno Silva,Mara Romero Borella,Women's Flyweight,win,"SUB

      

        Armbar",1,2:29
UFC Fight Night: Covington vs. Woodley,"September 19, 2020",Jessica-Rose Clark,Sarah Alpar,Women's Bantamweight,win,"KO/TKO

      

        Knee",3,4:21
UFC Fight Night: Covington vs. Woodley,"September 19, 2020",Darrick Minner,TJ Laramie,Featherweight,win,"SUB

      

        Guillotine Choke",1,0:52
UFC Fight Night: Covington vs. Woodley,"September 19, 2020",Randy Costa,Journey Newson,Bantamweight,win,"KO/TKO

      

        Kick",1,0:41
UFC Fight Night: Covington vs. Woodley,"September 19, 2020",Andre Ewell,Irwin Rivera,Bantamweight,win,S-DEC,3,5:00
UFC Fight Night: Covington vs. Woodley,"September 19, 2020",Tyson Nam,Jerome Rivera,Bantamweight,win,"KO/TKO

      

        Punches",2,0:34
UFC Fight Night: Waterson vs. Hill,"September 12, 2020",Michelle Waterson-Gomez,Angela Hill,Women's Strawweight,win,S-DEC,5,5:00
UFC Fight Night: Waterson vs. Hill,"September 12, 2020",Ottman Azaitar,Khama Worthy,Lightweight,win,"KO/TKO

      

        Punches",1,1:33
UFC Fight Night: Waterson vs. Hill,"September 12, 2020",Roxanne Modafferi,Andrea Lee,Women's Flyweight,win,U-DEC,3,5:00
UFC Fight Night: Waterson vs. Hill,"September 12, 2020",Ed Herman,Mike Rodriguez,Light Heavyweight,win,"SUB

      

        Kimura",3,2:41
UFC Fight Night: Waterson vs. Hill,"September 12, 2020",King Green,Alan Patrick,Lightweight,win,U-DEC,3,5:00
UFC Fight Night: Waterson vs. Hill,"September 12, 2020",Billy Quarantillo,Kyle Nelson,Featherweight,win,"KO/TKO

      

        Punch",3,0:07
UFC Fight Night: Waterson vs. Hill,"September 12, 2020",Sijara Eubanks,Julia Avila,Women's Bantamweight,win,U-DEC,3,5:00
UFC Fight Night: Waterson vs. Hill,"September 12, 2020",Roosevelt Roberts,Kevin Croom,Lightweight,"nc


nc","Overturned

      

        Guillotine Choke",1,0:31
