event,fighter_1,fighter_2,weight,result,method,round,time
UFC Fight Night: Yan vs. Figueiredo,Petr Yan,Deiveson Figueiredo,Bantamweight,win,U-DEC,5,5:00
UFC Fight Night: Yan vs. Figueiredo,Yan Xiaonan,Tabatha Ricci,Women's Strawweight,win,U-DEC,3,5:00
UFC Fight Night: Yan vs. Figueiredo,Muslim Salikhov,Song Kenan,Welterweight,win,KO/TKO,1,3:49
UFC Fight Night: Yan vs. Figueiredo,Gabriella Fernandes,Wang Cong,Women's Flyweight,win,SUB,2,3:49
UFC Fight Night: Yan vs. Figueiredo,Carlos Ulberg,Volkan Oezdemir,Light Heavyweight,win,U-DEC,3,5:00
UFC Fight Night: Yan vs. Figueiredo,Zhang Mingyang,Ozzy Diaz,Light Heavyweight,win,KO/TKO,1,2:25
UFC Fight Night: Yan vs. Figueiredo,SuYoung You,Baergeng Jieleyisi,Bantamweight,win,U-DEC,3,5:00
UFC Fight Night: Yan vs. Figueiredo,DongHun Choi,Kiru Sahota,Flyweight,win,KO/TKO,1,2:36
UFC Fight Night: Yan vs. Figueiredo,Shi Ming,Feng Xiaocan,Women's Strawweight,win,KO/TKO,3,0:46
UFC Fight Night: Yan vs. Figueiredo,Carlos Hernandez,Nyamjargal Tumendemberel,Flyweight,win,S-DEC,3,5:00
UFC Fight Night: Yan vs. Figueiredo,Lone’er Kavanagh,Jose Ochoa,Flyweight,win,U-DEC,3,5:00
UFC Fight Night: Yan vs. Figueiredo,Xiao Long,Quang Le,Bantamweight,win,KO/TKO,3,1:28
UFC Fight Night: Yan vs. Figueiredo,Nikolas Motta,Maheshate,Lightweight,win,U-DEC,3,5:00
UFC 309: Jones vs. Miocic,Jon Jones,Stipe Miocic,Heavyweight,win,KO/TKO,3,4:29
UFC 309: Jones vs. Miocic,Charles Oliveira,Michael Chandler,Lightweight,win,U-DEC,5,5:00
UFC 309: Jones vs. Miocic,Bo Nickal,Paul Craig,Middleweight,win,U-DEC,3,5:00
UFC 309: Jones vs. Miocic,Viviane Araujo,Karine Silva,Women's Flyweight,win,U-DEC,3,5:00
UFC 309: Jones vs. Miocic,Mauricio Ruffy,James Llontop,Catch Weight,win,U-DEC,3,5:00
UFC 309: Jones vs. Miocic,Marcus McGhee,Jonathan Martinez,Bantamweight,win,U-DEC,3,5:00
UFC 309: Jones vs. Miocic,Jim Miller,Damon Jackson,Lightweight,win,SUB,1,2:44
UFC 309: Jones vs. Miocic,David Onama,Roberto Romero,Lightweight,win,U-DEC,3,5:00
UFC 309: Jones vs. Miocic,Marcin Tybura,Jhonata Diniz,Heavyweight,win,KO/TKO,2,5:00
UFC 309: Jones vs. Miocic,Ramiz Brahimaj,Mickey Gall,Welterweight,win,KO/TKO,1,2:55
UFC 309: Jones vs. Miocic,Oban Elliott,Bassil Hafez,Welterweight,win,KO/TKO,3,0:40
UFC 309: Jones vs. Miocic,Eduarda Moura,Veronica Hardy,Women's Flyweight,win,U-DEC,3,5:00
UFC Fight Night: Magny vs. Prates,Carlos Prates,Neil Magny,Welterweight,win,KO/TKO,1,4:50
UFC Fight Night: Magny vs. Prates,Reiner de Ridder,Gerald Meerschaert,Middleweight,win,SUB,3,1:44
UFC Fight Night: Magny vs. Prates,Gaston Bolanos,Cortavious Romious,Bantamweight,win,U-DEC,3,5:00
UFC Fight Night: Magny vs. Prates,Gillian Robertson,Luana Pinheiro,Women's Strawweight,win,U-DEC,3,5:00
UFC Fight Night: Magny vs. Prates,Mansur Abdul-Malik,Dusko Todorovic,Middleweight,win,KO/TKO,1,2:44
UFC Fight Night: Magny vs. Prates,Denise Gomes,Karolina Kowalkiewicz,Women's Strawweight,win,U-DEC,3,5:00
UFC Fight Night: Magny vs. Prates,Elizeu Zaleski dos Santos,Zachary Scroggin,Welterweight,win,KO/TKO,1,1:15
UFC Fight Night: Magny vs. Prates,Charles Radtke,Matthew Semelsberger,Welterweight,win,KO/TKO,1,0:51
UFC Fight Night: Magny vs. Prates,Da'Mon Blackshear,Cody Stamann,Bantamweight,win,SUB,1,4:19
UFC Fight Night: Magny vs. Prates,Tresean Gore,Antonio Trocoli,Middleweight,win,SUB,1,1:23
UFC Fight Night: Magny vs. Prates,Melissa Mullins,Klaudia Sygula,Women's Bantamweight,win,KO/TKO,2,1:20
UFC Fight Night: Moreno vs. Albazi,Brandon Moreno,Amir Albazi,Flyweight,win,U-DEC,5,5:00
UFC Fight Night: Moreno vs. Albazi,Erin Blanchfield,Rose Namajunas,Women's Flyweight,win,U-DEC,5,5:00
UFC Fight Night: Moreno vs. Albazi,Brendson Ribiero,Caio Machado,Light Heavyweight,win,S-DEC,3,5:00
UFC Fight Night: Moreno vs. Albazi,Jasmine Jasudavicius,Ariane da Silva,Women's Flyweight,win,SUB,3,2:28
UFC Fight Night: Moreno vs. Albazi,Dustin Stoltzfus,Marc-Andre Barriault,Middleweight,win,KO/TKO,1,4:28
UFC Fight Night: Moreno vs. Albazi,Mike Malott,Trevin Giles,Welterweight,win,U-DEC,3,5:00
UFC Fight Night: Moreno vs. Albazi,Aiemann Zahabi,Pedro Munhoz,Bantamweight,win,U-DEC,3,5:00
UFC Fight Night: Moreno vs. Albazi,Charles Jourdain,Victor Henry,Bantamweight,win,SUB,2,3:43
UFC Fight Night: Moreno vs. Albazi,Youssef Zalal,Jack Shore,Bantamweight,win,"SUB

      

        Arm Triangle",2,0:59
UFC Fight Night: Moreno vs. Albazi,Alexandr Romanov,Rodrigo Nascimento,Heavyweight,win,U-DEC,3,5:00
UFC Fight Night: Moreno vs. Albazi,Serhiy Sidey,Garrett Armfield,Bantamweight,win,S-DEC,3,5:00
UFC Fight Night: Moreno vs. Albazi,Cody Gibson,Chad Anheliger,Bantamweight,win,U-DEC,3,5:00
UFC Fight Night: Moreno vs. Albazi,Jamey-Lyn Horth,Ivana Petrovic,Women's Flyweight,win,S-DEC,3,5:00
UFC 308: Topuria vs. Holloway,Ilia Topuria,Max Holloway,Featherweight,win,"KO/TKO

      

        Punch",3,1:34
UFC 308: Topuria vs. Holloway,Khamzat Chimaev,Robert Whittaker,Middleweight,win,"SUB

      

        Rear Naked Choke",1,3:34
UFC 308: Topuria vs. Holloway,Magomed Ankalaev,Aleksandar Rakic,Light Heavyweight,win,U-DEC,3,5:00
UFC 308: Topuria vs. Holloway,Lerone Murphy,Dan Ige,Featherweight,win,U-DEC,3,5:00
UFC 308: Topuria vs. Holloway,Shara Magomedov,Armen Petrosyan,Middleweight,win,"KO/TKO

      

        Spinning Back Fist",2,4:52
UFC 308: Topuria vs. Holloway,Ibo Aslan,Rafael Cerqueira,Light Heavyweight,win,"KO/TKO

      

        Punches",1,0:51
UFC 308: Topuria vs. Holloway,Geoff Neal,Rafael Dos Anjos,Welterweight,win,KO/TKO,1,1:30
UFC 308: Topuria vs. Holloway,Mateusz Rebecki,Myktybek Orolbai,Catch Weight,win,S-DEC,3,5:00
UFC 308: Topuria vs. Holloway,Abus Magomedov,Brunno Ferreira,Middleweight,win,"SUB

      

        Arm Triangle",3,3:14
UFC 308: Topuria vs. Holloway,Kennedy Nzechukwu,Chris Barnett,Heavyweight,win,"KO/TKO

      

        Knee",1,4:27
UFC 308: Topuria vs. Holloway,Farid Basharat,Victor Hugo,Featherweight,win,U-DEC,3,5:00
UFC 308: Topuria vs. Holloway,Ismail Naurdiev,Bruno Silva,Middleweight,win,U-DEC,3,5:00
UFC 308: Topuria vs. Holloway,Rinat Fakhretdinov,Carlos Leal,Welterweight,win,U-DEC,3,5:00
UFC Fight Night: Hernandez vs. Pereira,Anthony Hernandez,Michel Pereira,Middleweight,win,"KO/TKO

      

        Elbows",5,2:22
UFC Fight Night: Hernandez vs. Pereira,Rob Font,Kyler Phillips,Bantamweight,win,U-DEC,3,5:00
UFC Fight Night: Hernandez vs. Pereira,Charles Johnson,Sumudaerji,Flyweight,win,U-DEC,3,5:00
UFC Fight Night: Hernandez vs. Pereira,Cameron Smotherman,Jake Hadley,Bantamweight,win,U-DEC,3,5:00
UFC Fight Night: Hernandez vs. Pereira,Darren Elkins,Daniel Pineda,Featherweight,win,U-DEC,3,5:00
UFC Fight Night: Hernandez vs. Pereira,Asu Almabayev,Matheus Nicolau,Flyweight,win,U-DEC,3,5:00
UFC Fight Night: Hernandez vs. Pereira,Jean Matsumoto,Brad Katona,Bantamweight,win,U-DEC,3,5:00
UFC Fight Night: Hernandez vs. Pereira,Joselyne Edwards,Tamires Vidal,Women's Bantamweight,win,"SUB

      

        Rear Naked Choke",3,4:33
UFC Fight Night: Hernandez vs. Pereira,Elise Reed,Jessica Penne,Women's Strawweight,win,U-DEC,3,5:00
UFC Fight Night: Hernandez vs. Pereira,Melissa Martinez,Alice Ardelean,Women's Strawweight,win,U-DEC,3,5:00
UFC Fight Night: Hernandez vs. Pereira,Austen Lane,Robelis Despaigne,Heavyweight,win,U-DEC,3,5:00
UFC Fight Night: Royval vs. Taira,Brandon Royval,Tatsuro Taira,Flyweight,win,S-DEC,5,5:00
UFC Fight Night: Royval vs. Taira,JunYong Park,Brad Tavares,Middleweight,win,S-DEC,3,5:00
UFC Fight Night: Royval vs. Taira,Chidi Njokuani,Jared Gooden,Welterweight,win,U-DEC,3,5:00
UFC Fight Night: Royval vs. Taira,Grant Dawson,Rafa Garcia,Lightweight,win,"KO/TKO

      

        Punches",2,1:42
UFC Fight Night: Royval vs. Taira,Daniel Rodriguez,Alex Morono,Welterweight,win,S-DEC,3,5:00
UFC Fight Night: Royval vs. Taira,Ramazan Temirov,CJ Vergara,Flyweight,win,"KO/TKO

      

        Punch",1,2:50
UFC Fight Night: Royval vs. Taira,Pat Sabatini,Jonathan Pearce,Featherweight,win,"SUB

      

        Rear Naked Choke",1,4:06
UFC Fight Night: Royval vs. Taira,Themba Gorimbo,Niko Price,Welterweight,win,U-DEC,3,5:00
UFC Fight Night: Royval vs. Taira,Junior Tafa,Sean Sharaf,Heavyweight,win,"KO/TKO

      

        Punches",2,2:15
UFC Fight Night: Royval vs. Taira,Julia Polastri,Cory McKenna,Women's Strawweight,win,S-DEC,3,5:00
UFC Fight Night: Royval vs. Taira,Cody Haddon,Dan Argueta,Bantamweight,win,U-DEC,3,5:00
UFC Fight Night: Royval vs. Taira,Clayton Carpenter,Lucas Rocha,Flyweight,win,"SUB

      

        Rear Naked Choke",2,2:12
UFC 307: Pereira vs. Rountree Jr.,Alex Pereira,Khalil Rountree Jr.,Light Heavyweight,win,"KO/TKO

      

        Punch",4,4:32
UFC 307: Pereira vs. Rountree Jr.,Julianna Pena,Raquel Pennington,Women's Bantamweight,win,S-DEC,5,5:00
UFC 307: Pereira vs. Rountree Jr.,Mario Bautista,Jose Aldo,Bantamweight,win,S-DEC,3,5:00
UFC 307: Pereira vs. Rountree Jr.,Roman Dolidze,Kevin Holland,Middleweight,win,KO/TKO,1,5:00
UFC 307: Pereira vs. Rountree Jr.,Kayla Harrison,Ketlen Vieira,Women's Bantamweight,win,U-DEC,3,5:00
UFC 307: Pereira vs. Rountree Jr.,Joaquin Buckley,Stephen Thompson,Welterweight,win,"KO/TKO

      

        Punch",3,2:17
UFC 307: Pereira vs. Rountree Jr.,Iasmin Lucindo,Marina Rodriguez,Women's Strawweight,win,S-DEC,3,5:00
UFC 307: Pereira vs. Rountree Jr.,Alexander Hernandez,Austin Hubbard,Lightweight,win,S-DEC,3,5:00
UFC 307: Pereira vs. Rountree Jr.,Cesar Almeida,Ihor Potieria,Middleweight,win,U-DEC,3,5:00
UFC 307: Pereira vs. Rountree Jr.,Ryan Spann,Ovince Saint Preux,Light Heavyweight,win,"SUB

      

        Guillotine Choke",1,1:35
UFC 307: Pereira vs. Rountree Jr.,Tecia Pennington,Carla Esparza,Women's Strawweight,win,U-DEC,3,5:00
UFC 307: Pereira vs. Rountree Jr.,Court McGee,Tim Means,Welterweight,win,"SUB

      

        Rear Naked Choke",1,3:19
UFC Fight Night: Moicano vs. Saint Denis,Renato Moicano,Benoit Saint Denis,Lightweight,win,KO/TKO,2,5:00
UFC Fight Night: Moicano vs. Saint Denis,Nassourdine Imavov,Brendan Allen,Middleweight,win,U-DEC,3,5:00
UFC Fight Night: Moicano vs. Saint Denis,William Gomis,Joanderson Brito,Featherweight,win,S-DEC,3,5:00
UFC Fight Night: Moicano vs. Saint Denis,Bryan Battle,Kevin Jousset,Welterweight,win,"KO/TKO

      

        Punches",2,3:47
UFC Fight Night: Moicano vs. Saint Denis,Morgan Charriere,Gabriel Miranda,Featherweight,win,"KO/TKO

      

        Punch",2,0:27
UFC Fight Night: Moicano vs. Saint Denis,Fares Ziam,Matt Frevola,Lightweight,win,"KO/TKO

      

        Knee",3,2:59
UFC Fight Night: Moicano vs. Saint Denis,Ion Cutelaba,Ivan Erslan,Light Heavyweight,win,S-DEC,3,5:00
UFC Fight Night: Moicano vs. Saint Denis,Oumar Sy,Da Woon Jung,Light Heavyweight,win,U-DEC,3,5:00
UFC Fight Night: Moicano vs. Saint Denis,Ludovit Klein,Roosevelt Roberts,Lightweight,win,U-DEC,3,5:00
UFC Fight Night: Moicano vs. Saint Denis,Taylor Lapilus,Vince Morales,Bantamweight,win,U-DEC,3,5:00
UFC Fight Night: Moicano vs. Saint Denis,Ailin Perez,Daria Zhelezniakova,Women's Bantamweight,win,"SUB

      

        Arm Triangle",1,3:52
UFC Fight Night: Moicano vs. Saint Denis,Daniel Barez,Victor Altamirano,Flyweight,win,U-DEC,3,5:00
UFC Fight Night: Moicano vs. Saint Denis,Jacqueline Cavalcanti,Nora Cornolle,Women's Bantamweight,win,S-DEC,3,5:00
UFC Fight Night: Moicano vs. Saint Denis,Chris Duncan,Bolaji Oki,Lightweight,win,"SUB

      

        Guillotine Choke",1,3:34
UFC 306: Riyadh Season Noche UFC,Merab Dvalishvili,Sean O'Malley,Bantamweight,win,U-DEC,5,5:00
UFC 306: Riyadh Season Noche UFC,Valentina Shevchenko,Alexa Grasso,Women's Flyweight,win,U-DEC,5,5:00
UFC 306: Riyadh Season Noche UFC,Diego Lopes,Brian Ortega,Featherweight,win,U-DEC,3,5:00
UFC 306: Riyadh Season Noche UFC,Esteban Ribovics,Daniel Zellhuber,Lightweight,win,S-DEC,3,5:00
UFC 306: Riyadh Season Noche UFC,Ronaldo Rodriguez,Ode Osbourne,Flyweight,win,U-DEC,3,5:00
UFC 306: Riyadh Season Noche UFC,Norma Dumont,Irene Aldana,Women's Bantamweight,win,U-DEC,3,5:00
UFC 306: Riyadh Season Noche UFC,Ignacio Bahamondes,Manuel Torres,Lightweight,win,"KO/TKO

      

        Punch",1,4:02
UFC 306: Riyadh Season Noche UFC,Ketlen Souza,Yazmin Jauregui,Women's Strawweight,win,"SUB

      

        Rear Naked Choke",1,3:02
UFC 306: Riyadh Season Noche UFC,Joshua Van,Edgar Chairez,Flyweight,win,U-DEC,3,5:00
UFC 306: Riyadh Season Noche UFC,Raul Rosas Jr.,Aoriqileng,Bantamweight,win,U-DEC,3,5:00
UFC Fight Night: Burns vs. Brady,Sean Brady,Gilbert Burns,Welterweight,win,U-DEC,5,5:00
UFC Fight Night: Burns vs. Brady,Natalia Silva,Jessica Andrade,Women's Flyweight,win,U-DEC,3,5:00
UFC Fight Night: Burns vs. Brady,Steve Garcia,Kyle Nelson,Featherweight,win,"KO/TKO

      

        Elbows",1,3:59
UFC Fight Night: Burns vs. Brady,Cody Durden,Matt Schnell,Bantamweight,win,"SUB

      

        Guillotine Choke",2,0:29
UFC Fight Night: Burns vs. Brady,Yanal Ashmouz,Trevor Peek,Lightweight,win,U-DEC,3,5:00
UFC Fight Night: Burns vs. Brady,Chris Padilla,Rongzhu,Lightweight,win,KO/TKO,2,4:14
UFC Fight Night: Burns vs. Brady,Isaac Dulgarian,Brendon Marotte,Featherweight,win,"SUB

      

        Arm Triangle",2,4:19
UFC Fight Night: Burns vs. Brady,Andre Lima,Felipe dos Santos,Flyweight,win,U-DEC,3,5:00
UFC Fight Night: Burns vs. Brady,Gabriel Santos,Yizha,Featherweight,win,U-DEC,3,5:00
UFC Fight Night: Burns vs. Brady,Jaqueline Amorim,Vanessa Demopoulos,Women's Strawweight,win,"SUB

      

        Armbar",1,3:28
UFC Fight Night: Burns vs. Brady,Andre Petroski,Dylan Budka,Middleweight,win,U-DEC,3,5:00
UFC Fight Night: Burns vs. Brady,Nathan Fletcher,Zygimantas Ramaska,Featherweight,win,"SUB

      

        Arm Triangle",2,1:14
UFC Fight Night: Cannonier vs. Borralho,Caio Borralho,Jared Cannonier,Middleweight,win,U-DEC,5,5:00
UFC Fight Night: Cannonier vs. Borralho,Tabatha Ricci,Angela Hill,Women's Strawweight,win,U-DEC,3,5:00
UFC Fight Night: Cannonier vs. Borralho,Ryan Loder,Robert Valentin,Middleweight,win,"KO/TKO

      

        Elbows",2,1:49
UFC Fight Night: Cannonier vs. Borralho,Mairon Santos,Kaan Ofli,Featherweight,win,"KO/TKO

      

        Punch",2,1:30
UFC Fight Night: Cannonier vs. Borralho,Michael Morales,Neil Magny,Welterweight,win,"KO/TKO

      

        Punches",1,4:39
UFC Fight Night: Cannonier vs. Borralho,Gerald Meerschaert,Edmen Shahbazyan,Middleweight,win,"SUB

      

        Arm Triangle",2,4:12
UFC Fight Night: Cannonier vs. Borralho,Francis Marshall,Dennis Buzukja,Lightweight,win,S-DEC,3,5:00
UFC Fight Night: Cannonier vs. Borralho,Zachary Reese,Jose Daniel Medina,Middleweight,win,U-DEC,3,5:00
UFC Fight Night: Cannonier vs. Borralho,Viacheslav Borshchev,James Llontop,Lightweight,win,S-DEC,3,5:00
UFC Fight Night: Cannonier vs. Borralho,Jacqueline Cavalcanti,Josiane Nunes,Women's Bantamweight,win,S-DEC,3,5:00
UFC Fight Night: Cannonier vs. Borralho,Wang Cong,Victoria Leonardo,Women's Flyweight,win,"KO/TKO

      

        Punches",1,1:02
UFC 305: Du Plessis vs. Adesanya,Dricus Du Plessis,Israel Adesanya,Middleweight,win,"SUB

      

        Rear Naked Choke",4,3:38
UFC 305: Du Plessis vs. Adesanya,Kai Kara-France,Steve Erceg,Flyweight,win,"KO/TKO

      

        Punch",1,4:04
UFC 305: Du Plessis vs. Adesanya,Dan Hooker,Mateusz Gamrot,Lightweight,win,S-DEC,3,5:00
UFC 305: Du Plessis vs. Adesanya,Jairzinho Rozenstruik,Tai Tuivasa,Heavyweight,win,S-DEC,3,5:00
UFC 305: Du Plessis vs. Adesanya,Carlos Prates,Li Jingliang,Welterweight,win,"KO/TKO

      

        Punch",2,4:02
UFC 305: Du Plessis vs. Adesanya,Valter Walker,Junior Tafa,Heavyweight,win,"SUB

      

        Heel Hook",1,4:56
UFC 305: Du Plessis vs. Adesanya,Ricardo Ramos,Josh Culibao,Featherweight,win,S-DEC,3,5:00
UFC 305: Du Plessis vs. Adesanya,Casey O'Neill,Luana Santos,Women's Flyweight,win,U-DEC,3,5:00
UFC 305: Du Plessis vs. Adesanya,Jack Jenkins,Herbert Burns,Featherweight,win,"KO/TKO

      

        Punches",3,0:48
UFC 305: Du Plessis vs. Adesanya,Tom Nolan,Alex Reyes,Lightweight,win,U-DEC,3,5:00
UFC 305: Du Plessis vs. Adesanya,Song Kenan,Ricky Glenn,Welterweight,win,U-DEC,3,5:00
UFC 305: Du Plessis vs. Adesanya,Jesus Aguilar,Stewart Nicoll,Flyweight,win,"SUB

      

        Guillotine Choke",1,2:39
UFC Fight Night: Tybura vs. Spivac 2,Serghei Spivac,Marcin Tybura,Heavyweight,win,"SUB

      

        Armbar",1,1:44
UFC Fight Night: Tybura vs. Spivac 2,Chepe Mariscal,Damon Jackson,Featherweight,win,U-DEC,3,5:00
UFC Fight Night: Tybura vs. Spivac 2,Danny Barlow,Nikolay Veretennikov,Welterweight,win,S-DEC,3,5:00
UFC Fight Night: Tybura vs. Spivac 2,Chris Gutierrez,Quang Le,Bantamweight,win,U-DEC,3,5:00
UFC Fight Night: Tybura vs. Spivac 2,Yana Santos,Chelsea Chandler,Women's Bantamweight,win,U-DEC,3,5:00
UFC Fight Night: Tybura vs. Spivac 2,Toshiomi Kazama,Charalampos Grigoriou,Bantamweight,win,"SUB

      

        Triangle Choke",2,1:55
UFC Fight Night: Tybura vs. Spivac 2,Karol Rosa,Pannie Kianzad,Women's Bantamweight,win,U-DEC,3,5:00
UFC Fight Night: Tybura vs. Spivac 2,Jhonata Diniz,Karl Williams,Heavyweight,win,U-DEC,3,5:00
UFC Fight Night: Tybura vs. Spivac 2,Youssef Zalal,Jarno Errens,Featherweight,win,"SUB

      

        Rear Naked Choke",1,3:52
UFC Fight Night: Tybura vs. Spivac 2,Stephanie Luciano,Talita Alencar,Women's Strawweight,win,U-DEC,3,5:00
UFC Fight Night: Sandhagen vs. Nurmagomedov,Umar Nurmagomedov,Cory Sandhagen,Bantamweight,win,U-DEC,5,5:00
UFC Fight Night: Sandhagen vs. Nurmagomedov,Shara Magomedov,Michal Oleksiejczuk,Middleweight,win,U-DEC,3,5:00
UFC Fight Night: Sandhagen vs. Nurmagomedov,Deiveson Figueiredo,Marlon Vera,Bantamweight,win,U-DEC,3,5:00
UFC Fight Night: Sandhagen vs. Nurmagomedov,Michael Chiesa,Tony Ferguson,Welterweight,win,"SUB

      

        Rear Naked Choke",1,3:44
UFC Fight Night: Sandhagen vs. Nurmagomedov,Mackenzie Dern,Loopy Godinez,Women's Strawweight,win,U-DEC,3,5:00
UFC Fight Night: Sandhagen vs. Nurmagomedov,Joel Alvarez,Elves Brener,Lightweight,win,"KO/TKO

      

        Knees",3,3:36
UFC Fight Night: Sandhagen vs. Nurmagomedov,Azamat Murzakanov,Alonzo Menifield,Light Heavyweight,win,"KO/TKO

      

        Punches",2,3:18
UFC Fight Night: Sandhagen vs. Nurmagomedov,Kaue Fernandes,Mohammad Yahya,Lightweight,win,"KO/TKO

      

        Punches",1,4:45
UFC Fight Night: Sandhagen vs. Nurmagomedov,Shamil Gaziev,Don'Tale Mayes,Heavyweight,win,U-DEC,3,5:00
UFC Fight Night: Sandhagen vs. Nurmagomedov,Guram Kutateladze,Jordan Vucenic,Lightweight,win,U-DEC,3,5:00
UFC Fight Night: Sandhagen vs. Nurmagomedov,Sam Hughes,Viktoriia Dudakova,Women's Strawweight,win,S-DEC,3,5:00
UFC Fight Night: Sandhagen vs. Nurmagomedov,Jai Herbert,Rolando Bedoya,Lightweight,win,U-DEC,3,5:00
UFC Fight Night: Sandhagen vs. Nurmagomedov,Sedriques Dumas,Denis Tiuliulin,Middleweight,win,U-DEC,3,5:00
UFC 304: Edwards vs. Muhammad 2,Belal Muhammad,Leon Edwards,Welterweight,win,U-DEC,5,5:00
UFC 304: Edwards vs. Muhammad 2,Tom Aspinall,Curtis Blaydes,Heavyweight,win,"KO/TKO

      

        Punch",1,1:00
UFC 304: Edwards vs. Muhammad 2,Paddy Pimblett,King Green,Lightweight,win,"SUB

      

        Triangle Choke",1,3:22
UFC 304: Edwards vs. Muhammad 2,Gregory Rodrigues,Christian Leroy Duncan,Middleweight,win,U-DEC,3,5:00
UFC 304: Edwards vs. Muhammad 2,Arnold Allen,Giga Chikadze,Featherweight,win,U-DEC,3,5:00
UFC 304: Edwards vs. Muhammad 2,Nathaniel Wood,Daniel Pineda,Featherweight,win,U-DEC,3,5:00
UFC 304: Edwards vs. Muhammad 2,Bruna Brasil,Molly McCann,Women's Strawweight,win,U-DEC,3,5:00
UFC 304: Edwards vs. Muhammad 2,Jake Hadley,Caolan Loughran,Bantamweight,win,U-DEC,3,5:00
UFC 304: Edwards vs. Muhammad 2,Muhammad Mokaev,Manel Kape,Flyweight,win,U-DEC,3,5:00
UFC 304: Edwards vs. Muhammad 2,Oban Elliott,Preston Parsons,Welterweight,win,U-DEC,3,5:00
UFC 304: Edwards vs. Muhammad 2,Modestas Bukauskas,Marcin Prachnio,Light Heavyweight,win,"SUB

      

        Arm Triangle",3,3:12
UFC 304: Edwards vs. Muhammad 2,Sam Patterson,Kiefer Crosbie,Welterweight,win,"SUB

      

        Arm Triangle",1,2:50
UFC 304: Edwards vs. Muhammad 2,Mick Parkin,Lukasz Brzeski,Heavyweight,win,"KO/TKO

      

        Punches",1,3:23
UFC 304: Edwards vs. Muhammad 2,Shauna Bannon,Alice Ardelean,Women's Strawweight,win,S-DEC,3,5:00
UFC Fight Night: Lemos vs. Jandiroba,Virna Jandiroba,Amanda Lemos,Women's Strawweight,win,"SUB

      

        Armbar",2,4:48
UFC Fight Night: Lemos vs. Jandiroba,Steve Garcia,SeungWoo Choi,Featherweight,win,"KO/TKO

      

        Punch",1,1:36
UFC Fight Night: Lemos vs. Jandiroba,Kurt Holobaugh,Kaynan Kruschewsky,Lightweight,win,U-DEC,3,5:00
UFC Fight Night: Lemos vs. Jandiroba,Bruno Silva,Cody Durden,Flyweight,win,"KO/TKO

      

        Punches",2,2:58
UFC Fight Night: Lemos vs. Jandiroba,Dooho Choi,Bill Algeo,Featherweight,win,"KO/TKO

      

        Punch",2,3:38
UFC Fight Night: Lemos vs. Jandiroba,Hyder Amil,JeongYeong Lee,Featherweight,win,"KO/TKO

      

        Punches",1,1:05
UFC Fight Night: Lemos vs. Jandiroba,Cody Gibson,Brian Kelleher,Bantamweight,win,"SUB

      

        Arm Triangle",1,3:58
UFC Fight Night: Lemos vs. Jandiroba,Miranda Maverick,Dione Barbosa,Women's Flyweight,win,U-DEC,3,5:00
UFC Fight Night: Lemos vs. Jandiroba,Trey Ogden,Loik Radzhabov,Lightweight,win,U-DEC,3,5:00
UFC Fight Night: Lemos vs. Jandiroba,Luana Carolina,Lucie Pudilova,Women's Flyweight,win,U-DEC,3,5:00
UFC Fight Night: Lemos vs. Jandiroba,Thomas Petersen,Mohammed Usman,Heavyweight,win,U-DEC,3,5:00
UFC Fight Night: Namajunas vs. Cortez,Rose Namajunas,Tracy Cortez,Women's Flyweight,win,U-DEC,5,5:00
UFC Fight Night: Namajunas vs. Cortez,Muslim Salikhov,Santiago Ponzinibbio,Welterweight,win,S-DEC,3,5:00
UFC Fight Night: Namajunas vs. Cortez,Jean Silva,Drew Dober,Lightweight,win,KO/TKO,3,1:28
UFC Fight Night: Namajunas vs. Cortez,Gabriel Bonfim,Ange Loosa,Welterweight,win,U-DEC,3,5:00
UFC Fight Night: Namajunas vs. Cortez,Julian Erosa,Christian Rodriguez,Featherweight,win,"SUB

      

        Guillotine Choke",1,4:49
UFC Fight Night: Namajunas vs. Cortez,Abdul Razak Alhassan,Cody Brundage,Middleweight,"nc


nc",CNC,1,0:37
UFC Fight Night: Namajunas vs. Cortez,Charles Johnson,Joshua Van,Flyweight,win,"KO/TKO

      

        Punch",3,0:20
UFC Fight Night: Namajunas vs. Cortez,Jasmine Jasudavicius,Fatima Kline,Women's Flyweight,win,U-DEC,3,5:00
UFC Fight Night: Namajunas vs. Cortez,Montel Jackson,Da'Mon Blackshear,Bantamweight,win,"KO/TKO

      

        Punch",1,0:18
UFC Fight Night: Namajunas vs. Cortez,Luana Santos,Mariya Agapova,Women's Flyweight,win,"SUB

      

        Rear Naked Choke",1,3:27
UFC Fight Night: Namajunas vs. Cortez,Andre Petroski,Josh Fremd,Middleweight,win,U-DEC,3,5:00
UFC Fight Night: Namajunas vs. Cortez,Evan Elder,Darrius Flowers,Welterweight,win,"SUB

      

        Arm Triangle",2,1:46
UFC 303: Pereira vs. Prochazka 2,Alex Pereira,Jiri Prochazka,Light Heavyweight,win,"KO/TKO

      

        Kick",2,0:13
UFC 303: Pereira vs. Prochazka 2,Diego Lopes,Dan Ige,Catch Weight,win,U-DEC,3,5:00
UFC 303: Pereira vs. Prochazka 2,Roman Dolidze,Anthony Smith,Light Heavyweight,win,U-DEC,3,5:00
UFC 303: Pereira vs. Prochazka 2,Macy Chiasson,Mayra Bueno Silva,Women's Bantamweight,win,KO/TKO,2,1:58
